player,nation,minutes,goals,npg,npxg,age
Aaron Connolly,IRL,156,0,0,0.5,21
Aaron Cresswell,ENG,2726,2,2,1.1,31
Aaron Hickey,SCO,2820,5,5,1.1,19
Aaron Lennon,ENG,1551,2,2,1.1,34
Aaron Ramsdale,ENG,3060,0,0,0.0,23
Aaron Ramsey,WAL,99,0,0,0.0,30
Aaron Wan-Bissaka,ENG,1793,0,0,0.2,23
Aarón Escandell,ESP,284,0,0,0.0,25
Aarón Martín,ESP,2292,1,1,1.0,24
Abdel Jalil Medioub,ALG,622,0,0,0.1,23
Abdelhamid Sabiri,GER,893,3,3,1.1,24
Abdessamad Ezzalzouli,MAR,580,1,1,1.3,19
Abdou Diallo,SEN,877,0,0,0.2,25
Abdou Harroui,NED,452,0,0,0.5,23
Abdoulaye Bakayoko,FRA,307,0,0,0.0,18
Abdoulaye Bamba,CIV,458,0,0,0.1,31
Abdoulaye Doucouré,MLI,2537,2,2,2.7,28
Abdoulaye Sylla,GUI,157,0,0,0.0,21
Abdoulaye Touré,FRA,430,0,0,0.2,27
Abdourahmane Barry,FRA,210,0,0,0.0,21
Abdu Conté,POR,1347,0,0,0.3,23
Abdul Majeed Waris,GHA,327,2,2,1.2,29
Abdón Prats,ESP,641,3,3,2.0,28
Aboubakar Sidibé,FRA,6,0,0,0.0,25
Achraf Hakimi,MAR,2479,4,4,2.1,22
Adam Armstrong,ENG,1413,2,2,4.3,24
Adam Forshaw,ENG,1530,0,0,0.4,29
Adam Idah,IRL,625,1,1,2.0,20
Adam Lallana,ENG,1561,0,0,1.2,33
Adam Marušić,MNE,2721,1,1,0.2,28
Adam Masina,MAR,1077,0,0,0.4,27
Adam Obert,SVK,274,0,0,0.0,18
Adam Ounas,ALG,326,0,0,0.9,24
Adam Webster,ENG,1434,2,2,1.1,26
Adama Soumaoro,FRA,2266,0,0,0.9,29
Adama Traoré,ESP,1449,1,1,3.0,25
Ademola Lookman,NGA,1453,6,6,5.1,23
Adil Aouchiche,FRA,1081,0,0,1.4,19
Adil Rami,FRA,1171,3,3,0.8,35
Admir Mehmedi,SUI,4,0,0,0.0,30
Adnan Januzaj,BEL,1625,3,1,2.5,26
Adri Embarba,ESP,1986,0,0,3.1,29
Adrian Fein,GER,32,0,0,0.0,22
Adrian Grbić,AUT,518,1,1,1.5,24
Adrian Šemper,CRO,90,0,0,0.0,23
Adrien Rabiot,FRA,2285,0,0,1.7,26
Adrien Silva,POR,1083,0,0,0.3,32
Adrien Tameze,CMR,2574,4,4,1.4,27
Adrien Thomasson,FRA,2389,8,8,6.5,27
Adrien Truffert,FRA,1639,3,3,2.2,19
Adrián Butzke,ESP,1,0,0,0.0,22
Afimico Pululu,FRA,70,0,0,0.0,22
Aihen Muñoz,ESP,1342,0,0,0.1,23
Aimar Sher,SWE,45,0,0,0.0,18
Aimen Moueffek,FRA,432,0,0,0.1,20
Ainsley Maitland-Niles,ENG,755,0,0,0.4,23
Aitor Fernández,ESP,1166,0,0,0.0,30
Aitor Ruibal,ESP,856,0,0,1.2,25
Ajdin Hrustic,AUS,964,2,2,1.2,25
Akim Zedadka,ALG,3337,0,0,1.6,26
Alassane Pléa,FRA,2070,10,7,5.9,28
Alassane Sidibe,CIV,6,0,0,0.0,19
Alban Lafont,FRA,3420,0,0,0.0,22
Albert Guðmundsson,ISL,607,1,1,0.9,24
Albert Sambi Lokonga,BEL,1134,0,0,0.6,21
Alberth Elis,HON,1409,9,9,5.8,25
Alberto Grassi,ITA,2174,0,0,1.1,26
Alberto Moreno,ESP,1223,3,3,3.0,29
Alberto Perea,ESP,777,0,0,0.9,30
Alberto Soro,ESP,578,0,0,0.6,22
Albin Ekdal,SWE,1637,1,1,0.7,32
Aleix Febas,ESP,117,0,0,0.0,25
Aleix Vidal,ESP,1901,2,2,0.8,31
Alejandro Asensio,ESP,12,0,0,0.0,20
Alejandro Balde,ESP,188,0,0,0.0,17
Alejandro Garnacho,ESP,13,0,0,0.0,17
Alejandro Primo,ESP,90,0,0,0.0,17
Aleksa Terzić,SRB,274,0,0,0.0,21
Aleksandar Kolarov,SRB,42,0,0,0.0,35
Aleksandar Sedlar,SRB,404,0,0,0.0,29
Aleksander Buksa,POL,63,0,0,0.0,18
Aleksandr Golovin,RUS,1502,3,3,3.0,25
Aleksandr Kokorin,RUS,55,0,0,0.0,30
Aleksei Miranchuk,RUS,772,2,2,1.6,25
Alessandro Bastoni,ITA,2311,1,1,0.5,22
Alessandro Berardi,ITA,90,0,0,0.0,30
Alessandro Buongiorno,ITA,1181,0,0,0.5,22
Alessandro Deiola,ITA,2129,4,4,2.3,25
Alessandro Florenzi,ITA,1152,2,2,0.7,30
Alessandro Russo,ITA,29,0,0,0.0,17
Alessandro Schöpf,AUT,2397,1,1,2.4,27
Alessandro Zanoli,ITA,457,0,0,0.0,20
Alessio Cragno,ITA,3150,0,0,0.0,27
Alessio Romagnoli,ITA,1409,1,1,0.7,26
Alex Ferrari,ITA,1643,1,1,0.5,27
Alex Iwobi,NGA,2035,2,2,1.7,25
Alex Král,CZE,1,0,0,0.0,23
Alex McCarthy,ENG,1530,0,0,0.0,31
Alex Meret,ITA,619,0,0,0.0,24
Alex Oxlade-Chamberlain,ENG,785,2,2,1.2,27
Alex Petxa,ESP,412,0,0,0.2,24
Alex Sandro,BRA,1780,0,0,0.7,30
Alex Sola,ESP,41,0,0,0.1,22
Alex Telles,BRA,1660,0,0,0.5,28
Alexander Djiku,GHA,2694,1,1,2.1,26
Alexander Hack,GER,2074,3,3,2.8,27
Alexander Isak,SWE,2140,6,4,8.6,21
Alexander Nübel,GER,3420,0,0,0.0,24
Alexander Schwolow,GER,2175,0,0,0.0,29
Alexander Sørloth,NOR,1763,4,4,6.5,25
Alexandre Lacazette,FRA,1782,4,2,5.6,30
Alexandre Letellier,FRA,8,0,0,0.0,30
Alexandre Oukidja,ALG,1875,0,0,0.0,33
Alexis Claude-Maurice,FRA,209,0,0,0.5,23
