club,slug
# fill 'slug' from https://footballdatabase.com/clubs-ranking/<slug>; re-run scripts/30
ADO Den Haag,ado-den-haag
AEK Athens,aek
APOEL,apoel-nicosia
AS FAR,far-rabat
Athletico Paranaense,atletico-pr
Atlanta United,atlanta-united
Atlanta United FC,atlanta-united
CSKA Moscow,cska-moskva
Charleroi,sporting-charleroi
Como,como-1907
Dynamo Moscow,dinamo-moskva
FCSB,steaua-bucuresti
Grasshopper,grasshopper-club-zuerich
Grasshoppers,grasshopper-club-zuerich
Guangzhou City,guangzhou-city-fc
Lokomotiv Moscow,lokomotiv-moskva
Ludogorets Razgrad,pfc-ludogorets-razgrad
Omonia,omonia-nicosia
Oviedo,real-oviedo
Parma,parma
Partizan,partizan-beograd
Partizani,partizani-tirana
Raja Casablanca,raja-casablanca
SPAL,spal-2013
Salernitana,us-salernitana-1919
Spartak Moscow,spartak-moskva
Spezia,asd-spezia-calcio-2008
UANL,tigres-uanl
UNAM,pumas-unam
Ulsan HD,ulsan-hyundai
Valladolid,valladolid
West Bromwich Albion,west-brom
NEC,nec-nijmegen
Ajax,ajax-amsterdam
OB,odense-bk
Olimpia,olimpia-asuncion
Independiente,ca-independiente-avellaneda
CD Real Sociedad,real-sociedad-colon
Internazionale,inter-milan
AaB,aab-aalborg
Aalesund,aalesund
Académica de Coimbra,academica-coimbra
Akademija Pandev,fc-academy-pandev
Al Bataeh,al-bataeh-club
Al Batin,al-batin
Al Dhafra,al-dhafra
Al Raed,al-raed
Al-Ahli Doha,al-ahli-sc-doha
Al-Fayha,al-feiha
Al-Kuwait,kuwait-sc
Al-Najma,al-najma-sc-unaizah
Al-Okhdood,al-okhdood-club
Al-Quwa Al-Jawiya,al-quwa-al-jawiya
Al-Sailiya,al-sailiya
Al-Tai,al-taee-hail
Alavés,alaves
Albirex Niigata,albirex-niigata
Ashdod,ashdod-sc
Astana,lokomotiv-astana
Atlético Junior,atletico-junior
Baniyas,baniyas-club
Changchun Yatai,changchun-yatai
Chippa United,chippa-united
Chivas USA,chivas-usa
Clermont,clermont-foot-auvergne
Colombe Sportive,colombe-du-dja-et-lobo
Cracovia,cracovia-krakow
Dalian Professional,dalian-pro
Damac,damac-fc-khamis-mushait
Dender,fcv-dender-eh
Dibba,dibba-al-fujairah
Dynamo Makhachkala,anzhi-makhachkala
Esbjerg,esbjerg-fb
Estrela Amadora,cf-estrela-da-amadora
Eupen,as-eupen
Foolad,foolad-khuzestan
GIF Sundsvall,gif-sundsvall
