team,ticker,p_qualify_pre,result
Algeria,KXWCGROUPQUAL-26J-DZA,0.66,yes
Argentina,KXWCGROUPQUAL-26J-ARG,0.98,yes
Australia,KXWCGROUPQUAL-26D-AUS,0.44,yes
Austria,KXWCGROUPQUAL-26J-AUT,0.79,yes
Belgium,KXWCGROUPQUAL-26G-BEL,0.96,yes
Bosnia and Herzegovina,KXWCGROUPQUAL-26B-BIH,0.67,yes
Brazil,KXWCGROUPQUAL-26C-BRA,0.98,yes
Canada,KXWCGROUPQUAL-26B-CAN,0.88,yes
Cape Verde,KXWCGROUPQUAL-26H-CPV,0.29,yes
Colombia,KXWCGROUPQUAL-26K-COL,0.91,yes
DR Congo,KXWCGROUPQUAL-26K-COD,0.42,yes
Croatia,KXWCGROUPQUAL-26L-CRO,0.83,yes
Curaçao,KXWCGROUPQUAL-26E-CUW,0.1,no
Czech Republic,KXWCGROUPQUAL-26A-CZE,0.69,no
Ecuador,KXWCGROUPQUAL-26E-ECU,0.9,yes
Egypt,KXWCGROUPQUAL-26G-EGY,0.75,yes
England,KXWCGROUPQUAL-26L-ENG,0.97,yes
France,KXWCGROUPQUAL-26I-FRA,0.98,yes
Germany,KXWCGROUPQUAL-26E-GER,0.98,yes
Ghana,KXWCGROUPQUAL-26L-GHA,0.47,yes
Haiti,KXWCGROUPQUAL-26C-HTI,0.14,no
Iran,KXWCGROUPQUAL-26G-IRI,0.63,no
Iraq,KXWCGROUPQUAL-26I-IRQ,0.13,no
Ivory Coast,KXWCGROUPQUAL-26E-CIV,0.79,yes
Japan,KXWCGROUPQUAL-26F-JPN,0.81,yes
Jordan,KXWCGROUPQUAL-26J-JOR,0.21,no
South Korea,KXWCGROUPQUAL-26A-KOR,0.69,no
Mexico,KXWCGROUPQUAL-26A-MEX,0.92,yes
Morocco,KXWCGROUPQUAL-26C-MAR,0.85,yes
Netherlands,KXWCGROUPQUAL-26F-NED,0.93,yes
New Zealand,KXWCGROUPQUAL-26G-NZL,0.33,no
Norway,KXWCGROUPQUAL-26I-NOR,0.87,yes
Panama,KXWCGROUPQUAL-26L-PAN,0.32,no
Paraguay,KXWCGROUPQUAL-26D-PAR,0.64,yes
Portugal,KXWCGROUPQUAL-26K-POR,0.96,yes
Qatar,KXWCGROUPQUAL-26B-QAT,0.19,no
Saudi Arabia,KXWCGROUPQUAL-26H-KSA,0.34,no
Scotland,KXWCGROUPQUAL-26C-SCO,0.69,no
Senegal,KXWCGROUPQUAL-26I-SEN,0.72,yes
South Africa,KXWCGROUPQUAL-26A-RSA,0.36,yes
Spain,KXWCGROUPQUAL-26H-ESP,0.99,yes
Sweden,KXWCGROUPQUAL-26F-SWE,0.64,yes
Switzerland,KXWCGROUPQUAL-26B-SUI,0.94,yes
Tunisia,KXWCGROUPQUAL-26F-TUN,0.34,no
Turkey,KXWCGROUPQUAL-26D-TUR,0.81,no
United States,KXWCGROUPQUAL-26D-USA,0.84,yes
Uruguay,KXWCGROUPQUAL-26H-URU,0.9,no
Uzbekistan,KXWCGROUPQUAL-26K-UZB,0.33,no
