team,player,caps,club
Italy,Salvatore Sirigu,26,Torino
Italy,Giovanni Di Lorenzo,7,Napoli
Italy,Giorgio Chiellini ( captain ),107,Juventus
Italy,Leonardo Spinazzola,14,Roma
Italy,Manuel Locatelli,10,Sassuolo
Italy,Marco Verratti,40,Paris Saint-Germain
Italy,Gaetano Castrovilli,2,Fiorentina
Italy,Jorginho,28,Chelsea
Italy,Andrea Belotti,33,Torino
Italy,Lorenzo Insigne,41,Napoli
Italy,Domenico Berardi,11,Sassuolo
Italy,Matteo Pessina,5,Atalanta
Italy,Emerson Palmieri,15,Chelsea
Italy,Federico Chiesa,25,Juventus
Italy,Francesco Acerbi,14,Lazio
Italy,Bryan Cristante,11,Roma
Italy,Ciro Immobile,46,Lazio
Italy,Nicolò Barella,23,Internazionale
Italy,Leonardo Bonucci,102,Juventus
Italy,Federico Bernardeschi,30,Juventus
Italy,Gianluigi Donnarumma,26,Milan
Italy,Giacomo Raspadori,1,Sassuolo
Italy,Alessandro Bastoni,5,Internazionale
Italy,Alessandro Florenzi,43,Paris Saint-Germain
Italy,Rafael Tolói,3,Atalanta
Italy,Alex Meret,2,Napoli
Switzerland,Yann Sommer,61,Borussia Mönchengladbach
Switzerland,Kevin Mbabu,12,VfL Wolfsburg
Switzerland,Silvan Widmer,16,Basel
Switzerland,Nico Elvedi,26,Borussia Mönchengladbach
Switzerland,Manuel Akanji,29,Borussia Dortmund
Switzerland,Denis Zakaria,32,Borussia Mönchengladbach
Switzerland,Breel Embolo,43,Borussia Mönchengladbach
Switzerland,Remo Freuler,29,Atalanta
Switzerland,Haris Seferovic,74,Benfica
Switzerland,Granit Xhaka ( captain ),94,Arsenal
Switzerland,Ruben Vargas,12,FC Augsburg
Switzerland,Yvon Mvogo,4,PSV Eindhoven
Switzerland,Ricardo Rodriguez,81,Torino
Switzerland,Steven Zuber,37,Eintracht Frankfurt
Switzerland,Djibril Sow,16,Eintracht Frankfurt
Switzerland,Christian Fassnacht,8,Young Boys
Switzerland,Loris Benito,12,Bordeaux
Switzerland,Admir Mehmedi,74,VfL Wolfsburg
Switzerland,Mario Gavranović,30,Dinamo Zagreb
Switzerland,Edimilson Fernandes,22,Mainz 05
Switzerland,Jonas Omlin (until 13 June),2,Montpellier
Switzerland,Gregor Kobel (from 13 June),0,VfB Stuttgart
Switzerland,Fabian Schär,60,Newcastle United
Switzerland,Xherdan Shaqiri,91,Liverpool
Switzerland,Bećir Omeragić,4,Zürich
Switzerland,Eray Cömert,6,Basel
Switzerland,Jordan Lotomba,2,Nice
Turkey,Mert Günok,22,İstanbul Başakşehir
Turkey,Zeki Çelik,20,Lille
Turkey,Merih Demiral,21,Juventus
Turkey,Çağlar Söyüncü,35,Leicester City
Turkey,Okay Yokuşlu,34,West Bromwich Albion
Turkey,Ozan Tufan,60,Fenerbahçe
Turkey,Cengiz Ünder,29,Leicester City
Turkey,Dorukhan Toköz,9,Beşiktaş
Turkey,Kenan Karaman,22,Fortuna Düsseldorf
Turkey,Hakan Çalhanoğlu,56,Milan
Turkey,Yusuf Yazıcı,31,Lille
Turkey,Altay Bayındır,1,Fenerbahçe
Turkey,Umut Meraş,13,Le Havre
Turkey,Taylan Antalyalı,6,Galatasaray
Turkey,Ozan Kabak,12,Liverpool
Turkey,Enes Ünal,22,Getafe
Turkey,Burak Yılmaz ( captain ),67,Lille
Turkey,Rıdvan Yılmaz,2,Beşiktaş
Turkey,Orkun Kökçü,6,Feyenoord
Turkey,Abdülkadir Ömür,9,Trabzonspor
Turkey,İrfan Kahveci,18,Fenerbahçe
Turkey,Kaan Ayhan,37,Sassuolo
Turkey,Uğurcan Çakır,8,Trabzonspor
Turkey,Kerem Aktürkoğlu,1,Galatasaray
Turkey,Mert Müldür,8,Sassuolo
Turkey,Halil Dervişoğlu,2,Galatasaray
Wales,Wayne Hennessey,96,Crystal Palace
Wales,Chris Gunter,101,Charlton Athletic
Wales,Neco Williams,11,Liverpool
Wales,Ben Davies,60,Tottenham Hotspur
Wales,Tom Lockyer,13,Luton Town
Wales,Joe Rodon,14,Tottenham Hotspur
Wales,Joe Allen,59,Stoke City
Wales,Harry Wilson,26,Cardiff City
Wales,Tyler Roberts,14,Leeds United
Wales,Aaron Ramsey,63,Juventus
Wales,Gareth Bale ( captain ),92,Tottenham Hotspur
Wales,Danny Ward,13,Leicester City
Wales,Kieffer Moore,17,Cardiff City
Wales,Connor Roberts,26,Swansea City
Wales,Ethan Ampadu,23,Sheffield United
Wales,Joe Morrell,15,Luton Town
Wales,Rhys Norrington-Davies,5,Stoke City
Wales,Jonny Williams,28,Cardiff City
Wales,David Brooks,18,Bournemouth
Wales,Daniel James,20,Manchester United
Wales,Adam Davies,2,Stoke City
