team,player,caps,club,birth
Egypt,Essam El Hadary,158,Al Taawoun,1973-01-15
Egypt,Ali Gabr,21,West Bromwich Albion,1989-01-01
Egypt,Ahmed Elmohamady,78,Aston Villa,1987-09-09
Egypt,Omar Gaber,24,Los Angeles FC,1992-01-30
Egypt,Sam Morsy,5,Wigan Athletic,1991-09-10
Egypt,Ahmed Hegazi,45,West Bromwich Albion,1991-01-25
Egypt,Ahmed Fathy,126,Al Ahly,1984-11-10
Egypt,Tarek Hamed,21,Zamalek,1988-10-24
Egypt,Marwan Mohsen,24,Al Ahly,1989-02-26
Egypt,Mohamed Salah,57,Liverpool,1992-06-15
Egypt,Kahraba,19,Al-Ittihad,1994-04-13
Egypt,Ayman Ashraf,4,Al Ahly,1991-04-09
Egypt,Mohamed Abdel Shafy,51,Al Fateh,1985-07-01
Egypt,Ramadan Sobhi,23,Stoke City,1997-01-23
Egypt,Mahmoud Hamdy,0,Zamalek,1995-06-01
Egypt,Sherif Ekramy,22,Al Ahly,1983-07-10
Egypt,Mohamed Elneny,61,Arsenal,1992-07-11
Egypt,Shikabala,29,Al Raed,1986-03-05
Egypt,Abdallah El Said,36,KuPS,1985-07-13
Egypt,Saad Samir,11,Al Ahly,1989-04-01
Egypt,Trézéguet,24,Kasımpaşa,1994-10-01
Egypt,Amr Warda,16,Atromitos,1993-09-17
Egypt,Mohamed El Shenawy,3,Al Ahly,1988-12-18
Russia,Igor Akinfeev,106,CSKA Moscow,1986-04-08
Russia,Mário Fernandes,5,CSKA Moscow,1990-09-19
Russia,Ilya Kutepov,7,Spartak Moscow,1993-07-29
Russia,Sergei Ignashevich,122,CSKA Moscow,1979-07-14
Russia,Andrei Semyonov,6,Akhmat Grozny,1989-03-24
Russia,Denis Cheryshev,11,Villarreal,1990-12-26
Russia,Daler Kuzyayev,6,Zenit Saint Petersburg,1993-01-15
Russia,Yury Gazinsky,6,Krasnodar,1989-07-20
Russia,Alan Dzagoev,57,CSKA Moscow,1990-06-17
Russia,Fyodor Smolov,32,Krasnodar,1990-02-09
Russia,Roman Zobnin,12,Spartak Moscow,1994-02-11
Russia,Andrey Lunyov,3,Zenit Saint Petersburg,1991-11-13
Russia,Fyodor Kudryashov,19,Rubin Kazan,1987-04-05
Russia,Vladimir Granat,12,Rubin Kazan,1987-05-22
Russia,Aleksei Miranchuk,18,Lokomotiv Moscow,1995-10-17
Russia,Anton Miranchuk,6,Lokomotiv Moscow,1995-10-17
Russia,Aleksandr Golovin,19,CSKA Moscow,1996-05-30
Russia,Yuri Zhirkov,84,Zenit Saint Petersburg,1983-08-20
Russia,Aleksandr Samedov,48,Spartak Moscow,1984-07-19
Russia,Vladimir Gabulov,10,Club Brugge,1983-10-19
Russia,Aleksandr Yerokhin,17,Zenit Saint Petersburg,1989-10-13
Russia,Artem Dzyuba,23,Arsenal Tula,1988-08-22
Russia,Igor Smolnikov,27,Zenit Saint Petersburg,1988-08-08
