team,player,caps,club
Ecuador,Hernán Galíndez,12,Aucas
Ecuador,Félix Torres,17,Santos Laguna
Ecuador,Piero Hincapié,21,Bayer Leverkusen
Ecuador,Robert Arboleda,33,São Paulo
Ecuador,José Cifuentes,11,Los Angeles FC
Ecuador,Willian Pacho,0,Antwerp
Ecuador,Pervis Estupiñán,28,Brighton & Hove Albion
Ecuador,Carlos Gruezo,46,FC Augsburg
Ecuador,Ayrton Preciado,27,Santos Laguna
Ecuador,Romario Ibarra,25,Pachuca
Ecuador,Michael Estrada,36,Cruz Azul
Ecuador,Moisés Ramírez,2,Independiente del Valle
Ecuador,Enner Valencia ( captain ),74,Fenerbahçe
Ecuador,Xavier Arreaga,18,Seattle Sounders FC
Ecuador,Ángel Mena,46,León
Ecuador,Jeremy Sarmiento,9,Brighton & Hove Albion
Ecuador,Ángelo Preciado,24,Genk
Ecuador,Diego Palacios,12,Los Angeles FC
Ecuador,Gonzalo Plata,30,Valladolid
Ecuador,Sebas Méndez,32,Los Angeles FC
Ecuador,Alan Franco,25,Talleres
Ecuador,Alexander Domínguez,68,LDU Quito
Ecuador,Moisés Caicedo,25,Brighton & Hove Albion
Ecuador,Djorkaeff Reasco,4,Newell's Old Boys
Ecuador,Jackson Porozo,5,Troyes
Ecuador,Kevin Rodríguez,1,Imbabura
Netherlands,Remko Pasveer,2,Ajax
Netherlands,Jurriën Timber,10,Ajax
Netherlands,Matthijs de Ligt,38,Bayern Munich
Netherlands,Virgil van Dijk ( captain ),49,Liverpool
Netherlands,Nathan Aké,29,Manchester City
Netherlands,Stefan de Vrij,59,Inter Milan
Netherlands,Steven Bergwijn,24,Ajax
Netherlands,Cody Gakpo,9,PSV Eindhoven
Netherlands,Luuk de Jong,38,PSV Eindhoven
Netherlands,Memphis Depay,81,Barcelona
Netherlands,Steven Berghuis,39,Ajax
Netherlands,Noa Lang,5,Club Brugge
Netherlands,Justin Bijlow,6,Feyenoord
Netherlands,Davy Klaassen,35,Ajax
Netherlands,Marten de Roon,30,Atalanta
Netherlands,Tyrell Malacia,6,Manchester United
Netherlands,Daley Blind,94,Ajax
Netherlands,Vincent Janssen,20,Antwerp
Netherlands,Wout Weghorst,15,Beşiktaş
Netherlands,Teun Koopmeiners,10,Atalanta
Netherlands,Frenkie de Jong,45,Barcelona
Netherlands,Denzel Dumfries,37,Inter Milan
Netherlands,Andries Noppert,0,Heerenveen
Netherlands,Kenneth Taylor,2,Ajax
Netherlands,Xavi Simons,0,PSV Eindhoven
Netherlands,Jeremie Frimpong,0,Bayer Leverkusen
Qatar,Saad Al-Sheeb,76,Al-Sadd
Qatar,Pedro Miguel,80,Al-Sadd
Qatar,Abdelkarim Hassan,130,Al-Sadd
Qatar,Mohammed Waad,21,Al-Sadd
Qatar,Tarek Salman,58,Al-Sadd
Qatar,Abdulaziz Hatem,107,Al-Rayyan
Qatar,Ahmed Alaaeldin,47,Al-Gharafa
Qatar,Ali Assadalla,59,Al-Sadd
Qatar,Mohammed Muntari,48,Al-Duhail
Qatar,Hassan Al-Haydos ( captain ),169,Al-Sadd
Qatar,Akram Afif,89,Al-Sadd
Qatar,Karim Boudiaf,115,Al-Duhail
Qatar,Musab Kheder,30,Al-Sadd
Qatar,Homam Ahmed,29,Al-Gharafa
Qatar,Bassam Al-Rawi,58,Al-Duhail
Qatar,Boualem Khoukhi,105,Al-Sadd
Qatar,Ismaeel Mohammad,70,Al-Duhail
Qatar,Khalid Muneer,2,Al-Wakrah
Qatar,Almoez Ali,85,Al-Duhail
Qatar,Salem Al-Hajri,22,Al-Sadd
Qatar,Yousef Hassan,7,Al-Gharafa
Qatar,Meshaal Barsham,20,Al-Sadd
Qatar,Assim Madibo,43,Al-Duhail
Qatar,Naif Al-Hadhrami,1,Al-Rayyan
Qatar,Jassem Gaber,0,Al-Arabi
Qatar,Mostafa Meshaal,1,Al-Sadd
Senegal,Seny Dieng,4,Queens Park Rangers
Senegal,Formose Mendy,2,Amiens
Senegal,Kalidou Koulibaly ( captain ),64,Chelsea
Senegal,Pape Abou Cissé,13,Olympiacos
Senegal,Idrissa Gueye,96,Everton
Senegal,Nampalys Mendy,19,Leicester City
Senegal,Nicolas Jackson,0,Villarreal
Senegal,Cheikhou Kouyaté,83,Nottingham Forest
Senegal,Boulaye Dia,19,Salernitana
Senegal,Moussa N'Diaye,0,Anderlecht
Senegal,Pathé Ciss,1,Rayo Vallecano
Senegal,Fodé Ballo-Touré,14,Milan
Senegal,Iliman Ndiaye,2,Sheffield United
Senegal,Ismail Jakobs,2,Monaco
Senegal,Krépin Diatta,26,Monaco
Senegal,Édouard Mendy,25,Chelsea
Senegal,Pape Matar Sarr,10,Tottenham Hotspur
Senegal,Ismaïla Sarr,48,Watford
Senegal,Famara Diédhiou,25,Alanyaspor
Senegal,Bamba Dieng,13,Marseille
Senegal,Youssouf Sabaly,24,Real Betis
Senegal,Abdou Diallo,18,RB Leipzig
Senegal,Alfred Gomis,13,Rennes
Senegal,Moustapha Name,6,Pafos
Senegal,Mamadou Loum,3,Reading
Senegal,Pape Gueye,12,Marseille
England,Jordan Pickford,45,Everton
England,Kyle Walker,70,Manchester City
England,Luke Shaw,23,Manchester United
England,Declan Rice,34,West Ham United
England,John Stones,59,Manchester City
England,Harry Maguire,48,Manchester United
England,Jack Grealish,24,Manchester City
England,Jordan Henderson,70,Liverpool
England,Harry Kane ( captain ),75,Tottenham Hotspur
England,Raheem Sterling,79,Chelsea
England,Marcus Rashford,46,Manchester United
England,Kieran Trippier,37,Newcastle United
England,Nick Pope,10,Newcastle United
England,Kalvin Phillips,23,Manchester City
England,Eric Dier,47,Tottenham Hotspur
England,Conor Coady,10,Everton
England,Bukayo Saka,20,Arsenal
England,Trent Alexander-Arnold,17,Liverpool
England,Mason Mount,32,Chelsea
England,Phil Foden,18,Manchester City
England,Ben White,4,Arsenal
England,Jude Bellingham,17,Borussia Dortmund
England,Aaron Ramsdale,3,Arsenal
England,Callum Wilson,4,Newcastle United
England,James Maddison,1,Leicester City
England,Conor Gallagher,4,Chelsea
Iran,Alireza Beiranvand,52,Persepolis
Iran,Sadegh Moharrami,21,Dinamo Zagreb
Iran,Ehsan Hajsafi ( captain ),121,AEK Athens
Iran,Shojae Khalilzadeh,25,Al-Ahli Doha
Iran,Milad Mohammadi,45,AEK Athens
Iran,Saeid Ezatolahi,47,Vejle
Iran,Alireza Jahanbakhsh,64,Feyenoord
Iran,Morteza Pouraliganji,46,Persepolis
Iran,Mehdi Taremi,60,Porto
Iran,Karim Ansarifard,94,Omonia
Iran,Vahid Amiri,68,Persepolis
Iran,Payam Niazmand,1,Sepahan
Iran,Hossein Kanaanizadegan,35,Al-Ahli Doha
Iran,Saman Ghoddos,33,Brentford
Iran,Rouzbeh Cheshmi,19,Esteghlal
Iran,Mehdi Torabi,36,Persepolis
Iran,Ali Gholizadeh,26,Charleroi
Iran,Ali Karimi,13,Kayserispor
Iran,Majid Hosseini,18,Kayserispor
Iran,Sardar Azmoun,65,Bayer Leverkusen
Iran,Ahmad Nourollahi,25,Shabab Al-Ahli
Iran,Amir Abedzadeh,11,Ponferradina
Iran,Ramin Rezaeian,46,Sepahan
Iran,Hossein Hosseini,6,Esteghlal
Iran,Abolfazl Jalali,3,Esteghlal
United States,Matt Turner,20,Arsenal
United States,Sergiño Dest,19,Milan
United States,Walker Zimmerman,33,Nashville SC
United States,Tyler Adams ( captain ),32,Leeds United
United States,Antonee Robinson,29,Fulham
United States,Yunus Musah,19,Valencia
United States,Giovanni Reyna,14,Borussia Dortmund
United States,Weston McKennie,37,Juventus
United States,Jesús Ferreira,15,FC Dallas
United States,Christian Pulisic,52,Chelsea
United States,Brenden Aaronson,24,Leeds United
United States,Ethan Horvath,8,Luton Town
United States,Tim Ream,46,Fulham
United States,Luca de la Torre,12,Celta Vigo
United States,Aaron Long,29,New York Red Bulls
United States,Jordan Morris,49,Seattle Sounders FC
United States,Cristian Roldan,32,Seattle Sounders FC
United States,Shaq Moore,15,Nashville SC
United States,Haji Wright,3,Antalyaspor
United States,Cameron Carter-Vickers,11,Celtic
United States,Timothy Weah,25,Lille
United States,DeAndre Yedlin,75,Inter Miami CF
United States,Kellyn Acosta,53,Los Angeles FC
United States,Josh Sargent,20,Norwich City
United States,Sean Johnson,10,New York City FC
United States,Joe Scally,3,Borussia Mönchengladbach
Wales,Wayne Hennessey,106,Nottingham Forest
Wales,Chris Gunter,109,AFC Wimbledon
Wales,Neco Williams,23,Nottingham Forest
Wales,Ben Davies,74,Tottenham Hotspur
Wales,Chris Mepham,33,Bournemouth
Wales,Joe Rodon,30,Rennes
Wales,Joe Allen,72,Swansea City
Wales,Harry Wilson,39,Fulham
Wales,Brennan Johnson,15,Nottingham Forest
Wales,Aaron Ramsey,75,Nice
Wales,Gareth Bale ( captain ),108,Los Angeles FC
Wales,Danny Ward,26,Leicester City
Wales,Kieffer Moore,28,Bournemouth
Wales,Connor Roberts,41,Burnley
Wales,Ethan Ampadu,37,Spezia
Wales,Joe Morrell,30,Portsmouth
Wales,Tom Lockyer,14,Luton Town
Wales,Jonny Williams,33,Swindon Town
Wales,Mark Harris,5,Cardiff City
Wales,Daniel James,38,Fulham
Wales,Adam Davies,4,Sheffield United
Wales,Sorba Thomas,6,Huddersfield Town
Wales,Dylan Levitt,13,Dundee United
Wales,Ben Cabango,5,Swansea City
Wales,Rubin Colwill,7,Cardiff City
Wales,Matthew Smith,19,Milton Keynes Dons
Argentina,Franco Armani,18,River Plate
Argentina,Juan Foyth,16,Villarreal
Argentina,Nicolás Tagliafico,42,Lyon
Argentina,Gonzalo Montiel,18,Sevilla
Argentina,Leandro Paredes,46,Juventus
Argentina,Germán Pezzella,32,Real Betis
Argentina,Rodrigo De Paul,44,Atlético Madrid
Argentina,Marcos Acuña,43,Sevilla
Argentina,Julián Alvarez,12,Manchester City
Argentina,Lionel Messi ( captain ),165,Paris Saint-Germain
Argentina,Ángel Di María,124,Juventus
Argentina,Gerónimo Rulli,4,Villarreal
Argentina,Cristian Romero,12,Tottenham Hotspur
Argentina,Exequiel Palacios,20,Bayer Leverkusen
Argentina,Ángel Correa,22,Atlético Madrid
Argentina,Thiago Almada,1,Atlanta United FC
Argentina,Papu Gómez,15,Sevilla
Argentina,Guido Rodríguez,26,Real Betis
Argentina,Nicolás Otamendi,93,Benfica
Argentina,Alexis Mac Allister,8,Brighton & Hove Albion
Argentina,Paulo Dybala,34,Roma
Argentina,Lautaro Martínez,40,Inter Milan
Argentina,Emiliano Martínez,19,Aston Villa
Argentina,Enzo Fernández,3,Benfica
Argentina,Lisandro Martínez,10,Manchester United
Argentina,Nahuel Molina,20,Atlético Madrid
Mexico,Alfredo Talavera,40,Juárez
Mexico,Néstor Araujo,63,América
Mexico,César Montes,30,Monterrey
Mexico,Edson Álvarez,58,Ajax
Mexico,Johan Vásquez,7,Cremonese
Mexico,Gerardo Arteaga,17,Genk
Mexico,Luis Romo,27,Monterrey
Mexico,Carlos Rodríguez,36,Cruz Azul
Mexico,Raúl Jiménez,95,Wolverhampton Wanderers
Mexico,Alexis Vega,22,Guadalajara
Mexico,Rogelio Funes Mori,16,Monterrey
Mexico,Rodolfo Cota,8,León
Mexico,Guillermo Ochoa,131,América
Mexico,Érick Gutiérrez,34,PSV Eindhoven
Mexico,Héctor Moreno,128,Monterrey
Mexico,Héctor Herrera,102,Houston Dynamo FC
Mexico,Orbelín Pineda,50,AEK Athens
Mexico,Andrés Guardado ( captain ),178,Real Betis
Mexico,Jorge Sánchez,26,Ajax
Mexico,Henry Martín,27,América
Mexico,Uriel Antuna,36,Cruz Azul
Mexico,Hirving Lozano,60,Napoli
Mexico,Jesús Gallardo,78,Monterrey
Mexico,Luis Chávez,9,Pachuca
Mexico,Roberto Alvarado,31,Guadalajara
Mexico,Kevin Álvarez,8,Pachuca
Poland,Wojciech Szczęsny,66,Juventus
Poland,Matty Cash,7,Aston Villa
Poland,Artur Jędrzejczyk,40,Legia Warsaw
Poland,Mateusz Wieteska,2,Clermont
Poland,Jan Bednarek,45,Aston Villa
Poland,Krystian Bielik,5,Birmingham City
Poland,Arkadiusz Milik,64,Juventus
Poland,Damian Szymański,9,AEK Athens
Poland,Robert Lewandowski ( captain ),134,Barcelona
Poland,Grzegorz Krychowiak,94,Al-Shabab
Poland,Kamil Grosicki,87,Pogoń Szczecin
Poland,Łukasz Skorupski,8,Bologna
Poland,Jakub Kamiński,4,VfL Wolfsburg
Poland,Jakub Kiwior,5,Spezia
Poland,Kamil Glik,99,Benevento
Poland,Karol Świderski,18,Charlotte FC
Poland,Szymon Żurkowski,7,Fiorentina
Poland,Bartosz Bereszyński,46,Sampdoria
Poland,Sebastian Szymański,18,Feyenoord
Poland,Piotr Zieliński,74,Napoli
Poland,Nicola Zalewski,7,Roma
Poland,Kamil Grabara,1,Copenhagen
Poland,Krzysztof Piątek,25,Salernitana
Poland,Przemysław Frankowski,26,Lens
Poland,Robert Gumny,5,FC Augsburg
Poland,Michał Skóraś,1,Lech Poznań
Saudi Arabia,Mohammed Al-Rubaie,7,Al-Ahli
Saudi Arabia,Sultan Al-Ghannam,24,Al-Nassr
Saudi Arabia,Abdullah Madu,15,Al-Nassr
Saudi Arabia,Abdulelah Al-Amri,20,Al-Nassr
Saudi Arabia,Ali Al-Bulaihi,37,Al-Hilal
Saudi Arabia,Mohammed Al-Breik,40,Al-Hilal
Saudi Arabia,Salman Al-Faraj ( captain ),70,Al-Hilal
Saudi Arabia,Abdulellah Al-Malki,27,Al-Hilal
Saudi Arabia,Firas Al-Buraikan,26,Al-Fateh
Saudi Arabia,Salem Al-Dawsari,71,Al-Hilal
Saudi Arabia,Saleh Al-Shehri,20,Al-Hilal
Saudi Arabia,Saud Abdulhamid,23,Al-Hilal
Saudi Arabia,Yasser Al-Shahrani,72,Al-Hilal
Saudi Arabia,Abdullah Otayf,45,Al-Hilal
Saudi Arabia,Ali Al-Hassan,13,Al-Nassr
Saudi Arabia,Sami Al-Najei,17,Al-Nassr
Saudi Arabia,Hassan Al-Tambakti,19,Al-Shabab
Saudi Arabia,Nawaf Al-Abed,55,Al-Shabab
Saudi Arabia,Hattan Bahebri,41,Al-Shabab
Saudi Arabia,Abdulrahman Al-Aboud,3,Al-Ittihad
Saudi Arabia,Mohammed Al-Owais,42,Al-Hilal
Saudi Arabia,Nawaf Al-Aqidi,0,Al-Nassr
Saudi Arabia,Mohamed Kanno,38,Al-Hilal
Saudi Arabia,Nasser Al-Dawsari,10,Al-Hilal
Saudi Arabia,Haitham Asiri,8,Al-Ahli
Saudi Arabia,Riyadh Sharahili,5,Abha
Australia,Mathew Ryan ( captain ),75,Copenhagen
Australia,Miloš Degenek,38,Columbus Crew
Australia,Nathaniel Atkinson,5,Heart of Midlothian
Australia,Kye Rowles,3,Heart of Midlothian
Australia,Fran Karačić,11,Brescia
Australia,Marco Tilio,5,Melbourne City
Australia,Mathew Leckie,73,Melbourne City
Australia,Bailey Wright,27,Sunderland
Australia,Jamie Maclaren,26,Melbourne City
Australia,Ajdin Hrustic,20,Hellas Verona
Australia,Awer Mabil,29,Cádiz
Australia,Andrew Redmayne,4,Sydney FC
Australia,Aaron Mooy,53,Celtic
Australia,Riley McGree,11,Middlesbrough
Australia,Mitchell Duke,21,Fagiano Okayama
Australia,Aziz Behich,53,Dundee United
Australia,Cameron Devlin,1,Heart of Midlothian
Australia,Danny Vukovic,4,Central Coast Mariners
Australia,Harry Souttar,10,Stoke City
Australia,Thomas Deng,2,Albirex Niigata
Australia,Garang Kuol,1,Central Coast Mariners
Australia,Jackson Irvine,49,FC St. Pauli
Australia,Craig Goodwin,10,Adelaide United
Australia,Joel King,4,OB
Australia,Jason Cummings,1,Central Coast Mariners
Australia,Keanu Baccus,1,St Mirren
Denmark,Kasper Schmeichel,86,Nice
