team,city,habitual_m,venue_m,log_tilt
Czech Republic,Mexico City,202,2240,-0.2731
Czech Republic,Zapopan,202,1565,-0.1826
Czech Republic,Guadalupe,202,497,-0.0395
Czech Republic,Atlanta,202,320,-0.0158
Czech Republic,Kansas City,202,274,-0.0096
Mexico,Mexico City,2227,2240,-0.0018
South Africa,Mexico City,1767,2240,-0.0634
South Korea,Mexico City,38,2240,-0.2951
South Korea,Zapopan,38,1565,-0.2046
South Korea,Toronto,38,161,-0.0165
South Korea,Inglewood,38,40,-0.0003
South Korea,Santa Clara,38,132,-0.0126
South Korea,Foxborough,38,88,-0.0067
South Korea,Vancouver,38,70,-0.0043
South Korea,Arlington,38,184,-0.0196
South Korea,Guadalupe,38,497,-0.0615
South Korea,Seattle,38,56,-0.0024
South Korea,Atlanta,38,320,-0.0378
South Korea,Kansas City,38,274,-0.0316
Bosnia and Herzegovina,Mexico City,325,2240,-0.2566
Bosnia and Herzegovina,Zapopan,325,1565,-0.1662
Bosnia and Herzegovina,Guadalupe,325,497,-0.023
Canada,Mexico City,143,2240,-0.281
Canada,Zapopan,143,1565,-0.1905
Canada,Toronto,143,161,-0.0024
Canada,Arlington,143,184,-0.0055
Canada,Guadalupe,143,497,-0.0474
Canada,Atlanta,143,320,-0.0237
Canada,Kansas City,143,274,-0.0176
Qatar,Mexico City,11,2240,-0.2987
Qatar,Zapopan,11,1565,-0.2082
Qatar,Toronto,11,161,-0.0201
Qatar,Inglewood,11,40,-0.0039
Qatar,Santa Clara,11,132,-0.0162
Qatar,East Rutherford,11,24,-0.0017
Qatar,Foxborough,11,88,-0.0103
Qatar,Vancouver,11,70,-0.0079
Qatar,Houston,11,12,-0.0001
Qatar,Philadelphia,11,12,-0.0001
Qatar,Arlington,11,184,-0.0232
Qatar,Guadalupe,11,497,-0.0651
Qatar,Seattle,11,56,-0.006
Qatar,Atlanta,11,320,-0.0414
Qatar,Kansas City,11,274,-0.0352
Switzerland,Mexico City,279,2240,-0.2628
Switzerland,Zapopan,279,1565,-0.1723
Switzerland,Guadalupe,279,497,-0.0292
Switzerland,Atlanta,279,320,-0.0055
Brazil,Mexico City,312,2240,-0.2584
Brazil,Zapopan,312,1565,-0.168
Brazil,Guadalupe,312,497,-0.0249
Brazil,Atlanta,312,320,-0.0011
Haiti,Mexico City,27,2240,-0.2965
Haiti,Zapopan,27,1565,-0.2061
Haiti,Toronto,27,161,-0.018
Haiti,Inglewood,27,40,-0.0017
Haiti,Santa Clara,27,132,-0.0141
Haiti,Foxborough,27,88,-0.0082
Haiti,Vancouver,27,70,-0.0058
Haiti,Arlington,27,184,-0.021
Haiti,Guadalupe,27,497,-0.063
Haiti,Seattle,27,56,-0.0039
Haiti,Atlanta,27,320,-0.0393
Haiti,Kansas City,27,274,-0.0331
Morocco,Mexico City,27,2240,-0.2965
Morocco,Zapopan,27,1565,-0.2061
Morocco,Toronto,27,161,-0.018
Morocco,Inglewood,27,40,-0.0017
Morocco,Santa Clara,27,132,-0.0141
Morocco,Foxborough,27,88,-0.0082
Morocco,Vancouver,27,70,-0.0058
Morocco,Arlington,27,184,-0.021
Morocco,Guadalupe,27,497,-0.063
Morocco,Seattle,27,56,-0.0039
Morocco,Atlanta,27,320,-0.0393
Morocco,Kansas City,27,274,-0.0331
Scotland,Mexico City,40,2240,-0.2948
Scotland,Zapopan,40,1565,-0.2044
Scotland,Toronto,40,161,-0.0162
Scotland,Santa Clara,40,132,-0.0123
Scotland,Foxborough,40,88,-0.0064
Scotland,Vancouver,40,70,-0.004
Scotland,Arlington,40,184,-0.0193
Scotland,Guadalupe,40,497,-0.0612
Scotland,Seattle,40,56,-0.0021
Scotland,Atlanta,40,320,-0.0375
Scotland,Kansas City,40,274,-0.0314
Australia,Mexico City,58,2240,-0.2924
Australia,Zapopan,58,1565,-0.2019
Australia,Toronto,58,161,-0.0138
Australia,Santa Clara,58,132,-0.0099
Australia,Foxborough,58,88,-0.004
Australia,Vancouver,58,70,-0.0016
Australia,Arlington,58,184,-0.0169
Australia,Guadalupe,58,497,-0.0588
Australia,Atlanta,58,320,-0.0351
Australia,Kansas City,58,274,-0.0289
Paraguay,Mexico City,116,2240,-0.2846
Paraguay,Zapopan,116,1565,-0.1942
Paraguay,Toronto,116,161,-0.0061
Paraguay,Santa Clara,116,132,-0.0022
Paraguay,Arlington,116,184,-0.0091
Paraguay,Guadalupe,116,497,-0.0511
Paraguay,Atlanta,116,320,-0.0274
Paraguay,Kansas City,116,274,-0.0212
Turkey,Mexico City,39,2240,-0.2949
Turkey,Zapopan,39,1565,-0.2045
Turkey,Toronto,39,161,-0.0163
Turkey,Inglewood,39,40,-0.0001
Turkey,Santa Clara,39,132,-0.0125
Turkey,Foxborough,39,88,-0.0066
Turkey,Vancouver,39,70,-0.0042
Turkey,Arlington,39,184,-0.0194
Turkey,Guadalupe,39,497,-0.0614
Turkey,Seattle,39,56,-0.0023
Turkey,Atlanta,39,320,-0.0377
Turkey,Kansas City,39,274,-0.0315
United States,Mexico City,85,2240,-0.2888
United States,Zapopan,85,1565,-0.1983
United States,Toronto,85,161,-0.0102
United States,Santa Clara,85,132,-0.0063
United States,Foxborough,85,88,-0.0004
United States,Arlington,85,184,-0.0133
