tournament,team,capital_raw,coverage,n_players,capital_z
wc2014,Algeria,1533.9826,0.913,23,-0.7099
wc2014,Argentina,1748.8696,1.0,23,1.144
wc2014,Australia,1452.6261,0.6522,23,-1.4118
wc2014,Belgium,1759.8696,1.0,23,1.2389
wc2014,Bosnia and Herzegovina,1525.9739,0.8696,23,-0.779
wc2014,Brazil,1759.3913,1.0,23,1.2348
wc2014,Cameroon,1571.6435,0.9565,23,-0.385
wc2014,Chile,1597.2522,0.9565,23,-0.1641
wc2014,Colombia,1596.2957,0.9565,23,-0.1723
wc2014,Costa Rica,1491.887,0.8696,23,-1.0731
wc2014,Croatia,1635.4348,1.0,23,0.1653
wc2014,Ecuador,1547.3739,0.913,23,-0.5944
wc2014,England,1787.1739,1.0,23,1.4745
wc2014,France,1741.8696,1.0,23,1.0836
wc2014,Germany,1833.087,1.0,23,1.8706
wc2014,Ghana,1554.2435,0.913,23,-0.5351
wc2014,Greece,1577.3913,1.0,23,-0.3354
wc2014,Honduras,1447.2,0.913,23,-1.4586
wc2014,Iran,1461.8609,0.7391,23,-1.3322
wc2014,Italy,1763.3043,1.0,23,1.2685
wc2014,Ivory Coast,1591.5826,0.8696,23,-0.213
wc2014,Japan,1517.0783,0.9565,23,-0.8558
wc2014,Mexico,1586.087,1.0,23,-0.2604
wc2014,Netherlands,1657.6522,1.0,23,0.357
wc2014,Nigeria,1521.9652,0.8261,23,-0.8136
wc2014,Portugal,1707.9565,1.0,23,0.791
wc2014,Russia,1570.6,0.9565,23,-0.394
wc2014,South Korea,1508.0087,0.8261,23,-0.934
wc2014,Spain,1894.3478,1.0,23,2.3991
wc2014,Switzerland,1631.3478,1.0,23,0.1301
wc2014,United States,1504.9826,0.913,23,-0.9601
wc2014,Uruguay,1642.2957,0.9565,23,0.2245
wc2018,Argentina,1782.5304,0.9565,23,1.1683
wc2018,Australia,1466.3913,0.7826,23,-1.1834
wc2018,Belgium,1755.8435,0.913,23,0.9698
wc2018,Brazil,1856.7043,0.9565,23,1.72
wc2018,Colombia,1690.0,1.0,23,0.48
wc2018,Costa Rica,1496.113,0.8696,23,-0.9623
wc2018,Croatia,1753.5652,1.0,23,0.9528
wc2018,Denmark,1620.313,0.9565,23,-0.0384
wc2018,Egypt,1529.7043,0.9565,23,-0.7124
wc2018,England,1813.4348,1.0,23,1.3982
wc2018,France,1848.6087,1.0,23,1.6598
wc2018,Germany,1842.1739,1.0,23,1.6119
wc2018,Iceland,1480.7478,0.7391,23,-1.0766
wc2018,Iran,1505.4696,0.8261,23,-0.8927
wc2018,Japan,1547.0435,1.0,23,-0.5834
wc2018,Mexico,1584.8696,1.0,23,-0.302
wc2018,Morocco,1578.9826,0.8696,23,-0.3458
wc2018,Nigeria,1503.6783,0.8696,23,-0.906
wc2018,Panama,1409.4087,0.913,23,-1.6072
wc2018,Peru,1466.8957,0.6522,23,-1.1796
wc2018,Poland,1609.7478,0.9565,23,-0.117
wc2018,Portugal,1708.2696,0.9565,23,0.6159
wc2018,Russia,1617.6522,1.0,23,-0.0582
wc2018,Saudi Arabia,1580.1304,1.0,23,-0.3373
wc2018,Senegal,1557.4435,0.9565,23,-0.5061
wc2018,Serbia,1650.4348,1.0,23,0.1857
wc2018,South Korea,1458.4522,0.6957,23,-1.2424
wc2018,Spain,1905.5652,1.0,23,2.0835
wc2018,Sweden,1534.8,0.913,23,-0.6745
wc2018,Switzerland,1644.4783,1.0,23,0.1414
wc2018,Tunisia,1514.8435,0.913,23,-0.8229
wc2018,Uruguay,1700.913,1.0,23,0.5611
wc2022,Argentina,1756.9615,1.0,26,0.9108
wc2022,Australia,1412.9615,0.8846,26,-1.7627
wc2022,Belgium,1727.4231,1.0,26,0.6813
wc2022,Brazil,1840.9615,1.0,26,1.5637
wc2022,Cameroon,1578.8462,0.8846,26,-0.4735
wc2022,Canada,1485.0769,0.8846,26,-1.2022
wc2022,Costa Rica,1461.4231,0.7692,26,-1.3861
wc2022,Croatia,1716.3846,1.0,26,0.5955
wc2022,Denmark,1682.6923,1.0,26,0.3336
wc2022,Ecuador,1547.5,0.9231,26,-0.7171
wc2022,England,1841.1923,1.0,26,1.5655
wc2022,France,1864.1923,1.0,26,1.7442
wc2022,Germany,1848.5385,1.0,26,1.6226
wc2022,Ghana,1600.8462,0.8462,26,-0.3025
wc2022,Iran,1546.28,0.8,25,-0.7266
wc2022,Japan,1581.1538,1.0,26,-0.4555
wc2022,Mexico,1605.1923,1.0,26,-0.2687
wc2022,Morocco,1523.3462,1.0,26,-0.9048
wc2022,Netherlands,1786.1538,1.0,26,1.1377
wc2022,Poland,1601.4231,0.9615,26,-0.298
wc2022,Portugal,1807.7692,1.0,26,1.3057
wc2022,Qatar,1519.6923,1.0,26,-0.9332
wc2022,Saudi Arabia,1574.0385,1.0,26,-0.5108
wc2022,Senegal,1638.8846,1.0,26,-0.0068
wc2022,Serbia,1638.1538,1.0,26,-0.0125
wc2022,South Korea,1526.2692,0.7692,26,-0.8821
wc2022,Spain,1852.1154,1.0,26,1.6504
wc2022,Switzerland,1644.5769,1.0,26,0.0374
wc2022,Tunisia,1481.6538,0.9231,26,-1.2288
wc2022,United States,1567.5769,1.0,26,-0.561
wc2022,Uruguay,1700.2308,1.0,26,0.4699
wc2022,Wales,1513.0,0.8846,26,-0.9852
euro2016,Albania,1494.2174,0.8261,23,-1.1811
euro2016,Austria,1601.5217,0.9565,23,-0.1958
euro2016,Belgium,1688.2174,0.9565,23,0.6003
euro2016,Croatia,1708.2174,1.0,23,0.784
euro2016,Czech Republic,1594.8261,0.9565,23,-0.2573
euro2016,England,1720.087,1.0,23,0.893
euro2016,France,1750.3913,1.0,23,1.1713
euro2016,Germany,1809.1739,1.0,23,1.7111
euro2016,Hungary,1472.0435,0.8261,23,-1.3847
euro2016,Iceland,1456.7826,0.8261,23,-1.5249
euro2016,Italy,1776.6522,1.0,23,1.4124
euro2016,Northern Ireland,1476.1739,0.6522,23,-1.3468
euro2016,Poland,1566.4783,0.9565,23,-0.5176
euro2016,Portugal,1726.913,1.0,23,0.9557
euro2016,Republic of Ireland,1511.1739,0.7391,23,-1.0254
euro2016,Romania,1527.3913,0.8261,23,-0.8765
euro2016,Russia,1625.7826,0.9565,23,0.027
euro2016,Slovakia,1559.1304,0.9565,23,-0.585
euro2016,Spain,1857.2609,1.0,23,2.1526
euro2016,Sweden,1577.0435,1.0,23,-0.4205
euro2016,Switzerland,1625.8696,1.0,23,0.0278
euro2016,Turkey,1612.087,1.0,23,-0.0987
euro2016,Ukraine,1636.1739,1.0,23,0.1224
euro2016,Wales,1574.5652,0.8261,23,-0.4433
euro2020,Austria,1655.5769,1.0,26,-0.0834
euro2020,Belgium,1708.1481,1.0,27,0.3802
euro2020,Croatia,1709.3846,0.9615,26,0.3911
euro2020,Czech Republic,1615.7308,0.9615,26,-0.4347
euro2020,Denmark,1639.6923,1.0,26,-0.2234
euro2020,England,1791.4074,1.0,27,1.1143
euro2020,Finland,1456.1923,0.8077,26,-1.8414
euro2020,France,1862.4615,1.0,26,1.7408
euro2020,Germany,1882.8846,1.0,26,1.9209
euro2020,Hungary,1534.4231,0.9615,26,-1.1516
euro2020,Italy,1792.9231,1.0,26,1.1277
euro2020,Netherlands,1761.48,1.0,25,0.8504
euro2020,North Macedonia,1511.0,0.8462,26,-1.3581
euro2020,Poland,1572.88,0.92,25,-0.8125
euro2020,Portugal,1773.3462,1.0,26,0.955
euro2020,Russia,1581.6538,1.0,26,-0.7352
euro2020,Scotland,1591.7308,0.9615,26,-0.6463
euro2020,Slovakia,1564.8462,1.0,26,-0.8834
euro2020,Spain,1829.5,1.0,24,1.4502
euro2020,Sweden,1563.4231,0.9231,26,-0.8959
euro2020,Switzerland,1672.2593,1.0,27,0.0637
euro2020,Turkey,1645.3077,0.9615,26,-0.1739
euro2020,Ukraine,1673.1923,1.0,26,0.072
euro2020,Wales,1571.3077,0.8462,26,-0.8264
euro2024,Albania,1555.5846,0.9231,26,-1.1442
euro2024,Austria,1642.5769,1.0,26,-0.3713
euro2024,Belgium,1714.72,1.0,25,0.2697
euro2024,Croatia,1691.9615,1.0,26,0.0675
euro2024,Czech Republic,1724.5385,1.0,26,0.3569
euro2024,Denmark,1680.7308,1.0,26,-0.0323
euro2024,England,1832.1923,1.0,26,1.3133
euro2024,France,1845.24,1.0,25,1.4292
euro2024,Georgia,1504.7423,0.8846,26,-1.5959
euro2024,Germany,1857.9615,1.0,26,1.5423
euro2024,Hungary,1539.1962,0.9615,26,-1.2898
euro2024,Italy,1798.4231,1.0,26,1.0133
euro2024,Netherlands,1809.5385,1.0,26,1.112
euro2024,Poland,1624.5,1.0,26,-0.5319
euro2024,Portugal,1817.8077,1.0,26,1.1855
euro2024,Romania,1510.8731,0.7308,26,-1.5414
euro2024,Scotland,1555.2769,0.9231,26,-1.1469
euro2024,Serbia,1679.6577,0.9615,26,-0.0419
euro2024,Slovakia,1579.6231,0.9231,26,-0.9306
euro2024,Slovenia,1542.5077,0.9231,26,-1.2603
euro2024,Spain,1838.1154,1.0,26,1.3659
euro2024,Switzerland,1688.3077,1.0,26,0.035
euro2024,Turkey,1701.4231,1.0,26,0.1515
euro2024,Ukraine,1689.3462,1.0,26,0.0442
wc2026,Algeria,1579.9615,0.9615,26,-0.2881
wc2026,Argentina,1753.6923,1.0,26,1.0527
wc2026,Australia,1451.0,0.8846,26,-1.2834
wc2026,Austria,1666.1538,1.0,26,0.3771
wc2026,Belgium,1773.4231,1.0,26,1.205
wc2026,Bosnia and Herzegovina,1544.9231,0.8846,26,-0.5585
wc2026,Brazil,1778.8846,1.0,26,1.2472
wc2026,Canada,1527.8462,0.9231,26,-0.6903
wc2026,Cape Verde,1487.7692,0.6923,26,-0.9996
wc2026,Colombia,1649.7308,1.0,26,0.2504
wc2026,Croatia,1679.5,1.0,26,0.4801
wc2026,Curaçao,1416.3846,0.6538,26,-1.5506
wc2026,Czech Republic,1677.8462,1.0,26,0.4674
wc2026,DR Congo,1527.2692,0.8462,26,-0.6948
wc2026,Ecuador,1643.4231,0.9231,26,0.2017
wc2026,Egypt,1587.8077,0.9615,26,-0.2275
wc2026,England,1871.9615,1.0,26,1.9655
wc2026,France,1875.8846,1.0,26,1.9958
wc2026,Germany,1864.1923,1.0,26,1.9056
wc2026,Ghana,1568.5769,0.8846,26,-0.376
wc2026,Haiti,1450.6154,0.7692,26,-1.2864
wc2026,Iran,1488.0385,0.7692,26,-0.9976
wc2026,Iraq,1428.8077,0.5769,26,-1.4547
wc2026,Ivory Coast,1654.1923,0.9615,26,0.2848
wc2026,Japan,1611.6923,1.0,26,-0.0432
wc2026,Jordan,1428.5769,0.7692,26,-1.4565
wc2026,Mexico,1604.0769,1.0,26,-0.102
wc2026,Morocco,1683.8462,1.0,26,0.5137
wc2026,Netherlands,1772.9615,1.0,26,1.2015
wc2026,New Zealand,1451.6538,0.6154,26,-1.2784
