tournament,team,capital_raw,coverage,n_players,capital_z
wc2026,Algeria,1401.2122,0.5385,26,-0.2196
wc2026,Argentina,1688.9874,0.8077,26,1.1916
wc2026,Australia,1282.5499,0.3462,26,-0.8015
wc2026,Austria,1489.0291,0.7692,26,0.211
wc2026,Belgium,1767.8502,0.9615,26,1.5783
wc2026,Bosnia and Herzegovina,1447.3636,0.8462,26,0.0067
wc2026,Brazil,1566.0966,0.5769,26,0.5889
wc2026,Canada,1370.6595,0.4615,26,-0.3694
wc2026,Cape Verde,1270.9107,0.3462,26,-0.8585
wc2026,Colombia,1423.4665,0.4615,26,-0.1105
wc2026,Croatia,1542.7974,0.7308,26,0.4747
wc2026,Curaçao,1269.0711,0.4615,26,-0.8676
wc2026,Czech Republic,1337.2722,0.3846,26,-0.5331
wc2026,DR Congo,1467.4001,0.7308,26,0.105
wc2026,Ecuador,1428.1812,0.4231,26,-0.0873
wc2026,Egypt,1273.3691,0.2308,26,-0.8465
wc2026,England,1876.5373,0.9615,26,2.1112
wc2026,France,1838.8735,0.9615,26,1.9265
wc2026,Germany,1612.9094,0.6923,26,0.8185
wc2026,Ghana,1494.8008,0.6538,26,0.2393
wc2026,Haiti,1292.5175,0.4231,26,-0.7526
wc2026,Iran,1174.248,0.1154,26,-1.3325
wc2026,Iraq,1219.4069,0.1923,26,-1.1111
wc2026,Ivory Coast,1549.2891,0.8077,26,0.5065
wc2026,Japan,1460.497,0.6538,26,0.0711
wc2026,Jordan,1157.0712,0.0385,26,-1.4168
wc2026,Mexico,1298.8482,0.3077,26,-0.7216
wc2026,Morocco,1536.6417,0.6923,26,0.4445
wc2026,Netherlands,1791.1338,0.9615,26,1.6924
wc2026,New Zealand,1265.3917,0.3077,26,-0.8856
wc2026,Norway,1667.2411,0.8846,26,1.0849
wc2026,Panama,1182.6941,0.1538,26,-1.2911
wc2026,Paraguay,1241.5148,0.1923,26,-1.0027
wc2026,Portugal,1767.769,0.8846,26,1.5779
wc2026,Qatar,1134.7094,0.0,26,-1.5264
wc2026,Saudi Arabia,1159.0299,0.0385,26,-1.4072
wc2026,Scotland,1526.9414,0.7308,26,0.3969
wc2026,Senegal,1649.8817,0.8846,26,0.9998
wc2026,South Africa,1178.1423,0.1154,26,-1.3135
wc2026,South Korea,1376.5295,0.4615,26,-0.3406
wc2026,Spain,1845.9918,0.9615,26,1.9614
wc2026,Sweden,1477.5312,0.5769,26,0.1546
wc2026,Switzerland,1584.2303,0.8077,26,0.6779
wc2026,Tunisia,1359.236,0.5385,26,-0.4254
wc2026,Turkey,1636.8445,0.8462,26,0.9359
wc2026,United States,1473.1205,0.5769,26,0.133
wc2026,Uruguay,1385.0634,0.4231,26,-0.2988
wc2026,Uzbekistan,1166.8688,0.0385,26,-1.3687
wc2022,Argentina,1742.7629,0.9231,26,1.1077
wc2022,Australia,1232.8069,0.3077,26,-1.2836
wc2022,Belgium,1623.0869,0.8462,26,0.5466
wc2022,Brazil,1783.3946,0.8462,26,1.2983
wc2022,Cameroon,1438.3655,0.5385,26,-0.3196
wc2022,Canada,1368.438,0.5385,26,-0.6476
wc2022,Costa Rica,1201.1505,0.1538,26,-1.432
wc2022,Croatia,1495.2828,0.6154,26,-0.0528
wc2022,Denmark,1585.9207,0.7692,26,0.3723
wc2022,Ecuador,1339.2093,0.3846,26,-0.7846
wc2022,England,1852.1087,0.9615,26,1.6205
wc2022,France,1826.9025,0.9615,26,1.5023
wc2022,Germany,1731.3272,0.8077,26,1.0541
wc2022,Ghana,1542.6096,0.8077,26,0.1692
wc2022,Iran,1269.5732,0.28,25,-1.1112
wc2022,Japan,1383.2867,0.5385,26,-0.5779
wc2022,Mexico,1327.6649,0.3077,26,-0.8387
wc2022,Morocco,1495.0204,0.6923,26,-0.054
wc2022,Netherlands,1786.6008,1.0,26,1.3133
wc2022,Poland,1485.7841,0.6538,26,-0.0973
wc2022,Portugal,1806.0224,0.9615,26,1.4044
wc2022,Qatar,1130.8068,0.0,26,-1.7619
wc2022,Saudi Arabia,1130.8068,0.0,26,-1.7619
wc2022,Senegal,1606.6757,0.8462,26,0.4696
wc2022,Serbia,1574.4671,0.8462,26,0.3186
wc2022,South Korea,1305.5981,0.3077,26,-0.9422
wc2022,Spain,1834.4033,0.9615,26,1.5375
wc2022,Switzerland,1663.0227,0.9231,26,0.7338
wc2022,Tunisia,1274.6466,0.3462,26,-1.0874
wc2022,United States,1408.3029,0.4615,26,-0.4606
wc2022,Uruguay,1520.0402,0.5769,26,0.0633
wc2022,Wales,1442.9386,0.5385,26,-0.2982
wc2018,Argentina,1689.3518,0.7391,23,1.0497
wc2018,Australia,1320.6837,0.4783,23,-0.806
wc2018,Belgium,1734.1645,0.8261,23,1.2753
wc2018,Brazil,1731.7802,0.7391,23,1.2633
wc2018,Colombia,1527.3514,0.6087,23,0.2343
wc2018,Costa Rica,1321.985,0.3913,23,-0.7994
wc2018,Croatia,1708.2926,0.8696,23,1.145
wc2018,Denmark,1440.6904,0.5652,23,-0.2019
wc2018,Egypt,1252.3289,0.2174,23,-1.1501
wc2018,England,1737.4452,0.8696,23,1.2918
wc2018,France,1823.4641,0.9565,23,1.7247
wc2018,Germany,1745.8486,0.8696,23,1.3341
wc2018,Iceland,1428.902,0.7826,23,-0.2613
wc2018,Iran,1283.8455,0.3913,23,-0.9914
wc2018,Japan,1353.3659,0.3913,23,-0.6415
wc2018,Mexico,1372.4276,0.3478,23,-0.5455
wc2018,Morocco,1513.4945,0.7391,23,0.1645
wc2018,Nigeria,1386.0559,0.5217,23,-0.4769
