tournament,team,capital_raw,coverage,n_players,capital_z
wc2014,Algeria,1533.6957,0.9565,23,-0.696
wc2014,Argentina,1748.8696,1.0,23,1.1422
wc2014,Australia,1451.6522,0.6522,23,-1.3969
wc2014,Belgium,1759.8696,1.0,23,1.2362
wc2014,Bosnia and Herzegovina,1525.6087,0.8696,23,-0.7651
wc2014,Brazil,1759.3913,1.0,23,1.2321
wc2014,Cameroon,1571.5217,0.9565,23,-0.3728
wc2014,Chile,1597.1304,0.9565,23,-0.1541
wc2014,Colombia,1596.1739,0.9565,23,-0.1622
wc2014,Costa Rica,1489.3913,0.913,23,-1.0745
wc2014,Croatia,1635.4348,1.0,23,0.1732
wc2014,Ecuador,1537.8696,0.9565,23,-0.6603
wc2014,England,1787.1739,1.0,23,1.4695
wc2014,France,1741.8696,1.0,23,1.0824
wc2014,Germany,1833.087,1.0,23,1.8617
wc2014,Ghana,1554.0,0.913,23,-0.5225
wc2014,Greece,1577.3913,1.0,23,-0.3227
wc2014,Honduras,1437.6957,0.9565,23,-1.5161
wc2014,Iran,1456.8696,0.8261,23,-1.3523
wc2014,Italy,1763.3043,1.0,23,1.2655
wc2014,Ivory Coast,1591.2174,0.8696,23,-0.2046
wc2014,Japan,1516.9565,0.9565,23,-0.839
wc2014,Mexico,1586.087,1.0,23,-0.2484
wc2014,Netherlands,1657.6522,1.0,23,0.363
wc2014,Nigeria,1516.7826,0.8696,23,-0.8405
wc2014,Portugal,1707.9565,1.0,23,0.7927
wc2014,Russia,1570.4783,0.9565,23,-0.3817
wc2014,South Korea,1507.5217,0.8261,23,-0.9196
wc2014,Spain,1894.3478,1.0,23,2.385
wc2014,Switzerland,1631.3478,1.0,23,0.1383
wc2014,United States,1504.7391,0.913,23,-0.9433
wc2014,Uruguay,1642.1739,0.9565,23,0.2307
wc2018,Argentina,1782.4348,0.9565,23,1.1675
wc2018,Australia,1465.913,0.7826,23,-1.1824
wc2018,Belgium,1755.6522,0.913,23,0.9687
wc2018,Brazil,1856.6087,0.9565,23,1.7182
wc2018,Colombia,1690.0,1.0,23,0.4813
wc2018,Costa Rica,1495.8261,0.8696,23,-0.9603
wc2018,Croatia,1753.5652,1.0,23,0.9532
wc2018,Denmark,1620.2174,0.9565,23,-0.0368
wc2018,Egypt,1525.6522,1.0,23,-0.7389
wc2018,England,1813.4348,1.0,23,1.3977
wc2018,France,1848.6087,1.0,23,1.6588
wc2018,Germany,1842.1739,1.0,23,1.6111
wc2018,Iceland,1480.1739,0.7391,23,-1.0766
wc2018,Iran,1505.087,0.8261,23,-0.8916
wc2018,Japan,1547.0435,1.0,23,-0.5801
wc2018,Mexico,1584.8696,1.0,23,-0.2993
wc2018,Morocco,1578.6957,0.8696,23,-0.3451
wc2018,Nigeria,1497.5217,0.9565,23,-0.9478
wc2018,Panama,1409.2174,0.913,23,-1.6034
wc2018,Peru,1468.1739,0.7391,23,-1.1656
wc2018,Poland,1609.6522,0.9565,23,-0.1153
wc2018,Portugal,1708.1739,0.9565,23,0.6162
wc2018,Russia,1617.6522,1.0,23,-0.0559
wc2018,Saudi Arabia,1580.1304,1.0,23,-0.3344
wc2018,Senegal,1554.0435,1.0,23,-0.5281
wc2018,Serbia,1650.4348,1.0,23,0.1875
wc2018,South Korea,1457.7826,0.6957,23,-1.2428
wc2018,Spain,1905.5652,1.0,23,2.0817
wc2018,Sweden,1545.087,0.9565,23,-0.5946
wc2018,Switzerland,1644.4783,1.0,23,0.1433
wc2018,Tunisia,1510.8696,0.9565,23,-0.8487
wc2018,Uruguay,1700.913,1.0,23,0.5623
wc2022,Argentina,1756.9615,1.0,26,0.9113
wc2022,Australia,1408.8462,0.9231,26,-1.7835
wc2022,Belgium,1727.4231,1.0,26,0.6826
wc2022,Brazil,1840.9615,1.0,26,1.5616
wc2022,Cameroon,1576.0769,0.9615,26,-0.4889
wc2022,Canada,1484.9615,0.8846,26,-1.1943
wc2022,Costa Rica,1461.1923,0.7692,26,-1.3783
wc2022,Croatia,1716.3846,1.0,26,0.5972
wc2022,Denmark,1682.6923,1.0,26,0.3364
wc2022,Ecuador,1547.4231,0.9231,26,-0.7107
wc2022,England,1841.1923,1.0,26,1.5633
wc2022,France,1864.1923,1.0,26,1.7414
wc2022,Germany,1848.5385,1.0,26,1.6202
wc2022,Ghana,1598.6154,0.9231,26,-0.3145
wc2022,Iran,1537.36,0.88,25,-0.7886
wc2022,Japan,1581.1538,1.0,26,-0.4496
wc2022,Mexico,1605.1923,1.0,26,-0.2636
wc2022,Morocco,1523.3462,1.0,26,-0.8971
wc2022,Netherlands,1786.1538,1.0,26,1.1373
wc2022,Poland,1603.4231,1.0,26,-0.2772
wc2022,Portugal,1807.7692,1.0,26,1.3046
wc2022,Qatar,1519.6923,1.0,26,-0.9254
wc2022,Saudi Arabia,1574.0385,1.0,26,-0.5047
wc2022,Senegal,1638.8846,1.0,26,-0.0027
wc2022,Serbia,1638.1538,1.0,26,-0.0084
wc2022,South Korea,1526.0385,0.7692,26,-0.8763
wc2022,Spain,1852.1154,1.0,26,1.6479
wc2022,Switzerland,1644.5769,1.0,26,0.0413
wc2022,Tunisia,1481.5769,0.9231,26,-1.2205
wc2022,United States,1567.5769,1.0,26,-0.5547
wc2022,Uruguay,1700.2308,1.0,26,0.4721
wc2022,Wales,1512.8846,0.8846,26,-0.9781
euro2016,Albania,1493.5217,0.8261,23,-1.1688
euro2016,Austria,1601.3478,0.9565,23,-0.1873
euro2016,Belgium,1688.0435,0.9565,23,0.6019
euro2016,Croatia,1708.2174,1.0,23,0.7855
euro2016,Czech Republic,1594.6522,0.9565,23,-0.2482
euro2016,England,1720.087,1.0,23,0.8935
euro2016,France,1750.3913,1.0,23,1.1694
euro2016,Germany,1809.1739,1.0,23,1.7045
euro2016,Hungary,1471.3478,0.8261,23,-1.3706
euro2016,Iceland,1450.7826,0.8696,23,-1.5578
euro2016,Italy,1776.6522,1.0,23,1.4084
euro2016,Northern Ireland,1474.7826,0.6522,23,-1.3394
euro2016,Poland,1564.1304,1.0,23,-0.5261
euro2016,Portugal,1726.913,1.0,23,0.9557
euro2016,Republic of Ireland,1510.1304,0.7391,23,-1.0176
euro2016,Romania,1519.1304,0.8696,23,-0.9357
euro2016,Russia,1625.6087,0.9565,23,0.0335
euro2016,Slovakia,1558.9565,0.9565,23,-0.5732
euro2016,Spain,1857.2609,1.0,23,2.1422
euro2016,Sweden,1577.0435,1.0,23,-0.4085
euro2016,Switzerland,1625.8696,1.0,23,0.0359
euro2016,Turkey,1612.087,1.0,23,-0.0895
euro2016,Ukraine,1636.1739,1.0,23,0.1297
euro2016,Wales,1573.8696,0.8261,23,-0.4374
euro2020,Austria,1655.5769,1.0,26,-0.0686
euro2020,Belgium,1708.1481,1.0,27,0.3864
euro2020,Croatia,1708.8769,0.9615,26,0.3927
euro2020,Czech Republic,1615.2231,0.9615,26,-0.4179
euro2020,Denmark,1639.6923,1.0,26,-0.2061
euro2020,England,1791.4074,1.0,27,1.107
euro2020,Finland,1440.4385,0.8846,26,-1.9307
euro2020,France,1862.4615,1.0,26,1.7219
euro2020,Germany,1882.8846,1.0,26,1.8987
euro2020,Hungary,1533.9154,0.9615,26,-1.1216
euro2020,Italy,1792.9231,1.0,26,1.1201
euro2020,Netherlands,1761.48,1.0,25,0.8479
euro2020,North Macedonia,1502.4385,0.8846,26,-1.394
euro2020,Poland,1571.824,0.92,25,-0.7935
euro2020,Portugal,1773.3462,1.0,26,0.9506
euro2020,Russia,1581.6538,1.0,26,-0.7084
euro2020,Scotland,1591.2231,0.9615,26,-0.6256
euro2020,Slovakia,1564.8462,1.0,26,-0.8539
euro2020,Spain,1829.5,1.0,24,1.4367
euro2020,Sweden,1556.8,0.9615,26,-0.9235
euro2020,Switzerland,1672.2593,1.0,27,0.0757
euro2020,Turkey,1644.8,0.9615,26,-0.1619
euro2020,Ukraine,1673.1923,1.0,26,0.0838
euro2020,Wales,1569.2769,0.8462,26,-0.8156
euro2024,Albania,1548.7885,0.9615,26,-1.1768
euro2024,Austria,1642.5769,1.0,26,-0.3558
euro2024,Belgium,1714.72,1.0,25,0.2758
