tournament,team,city,suffering
wc2014,Algeria,Belo Horizonte,0.0
wc2014,Algeria,Brasília,0.0
wc2014,Algeria,Cuiabá,0.0
wc2014,Algeria,Curitiba,0.0
wc2014,Algeria,Fortaleza,0.0
wc2014,Algeria,Manaus,0.0
wc2014,Algeria,Natal,0.0
wc2014,Algeria,Porto Alegre,0.0
wc2014,Algeria,Recife,0.0
wc2014,Algeria,Rio de Janeiro,0.0
wc2014,Algeria,Salvador,0.0
wc2014,Algeria,São Paulo,0.0
wc2014,Argentina,Belo Horizonte,7.15
wc2014,Argentina,Brasília,9.01
wc2014,Argentina,Cuiabá,14.92
wc2014,Argentina,Curitiba,2.65
wc2014,Argentina,Fortaleza,12.75
wc2014,Argentina,Manaus,13.41
wc2014,Argentina,Natal,10.95
wc2014,Argentina,Porto Alegre,3.38
wc2014,Argentina,Recife,10.83
wc2014,Argentina,Rio de Janeiro,8.99
wc2014,Argentina,Salvador,9.08
wc2014,Argentina,São Paulo,5.95
wc2014,Australia,Belo Horizonte,3.39
wc2014,Australia,Brasília,5.25
wc2014,Australia,Cuiabá,11.16
wc2014,Australia,Curitiba,0.0
wc2014,Australia,Fortaleza,8.99
wc2014,Australia,Manaus,9.65
wc2014,Australia,Natal,7.19
wc2014,Australia,Porto Alegre,0.0
wc2014,Australia,Recife,7.07
wc2014,Australia,Rio de Janeiro,5.23
wc2014,Australia,Salvador,5.33
wc2014,Australia,São Paulo,2.19
wc2014,Belgium,Belo Horizonte,2.04
wc2014,Belgium,Brasília,3.89
wc2014,Belgium,Cuiabá,9.81
wc2014,Belgium,Curitiba,0.0
wc2014,Belgium,Fortaleza,7.63
wc2014,Belgium,Manaus,8.3
wc2014,Belgium,Natal,5.84
wc2014,Belgium,Porto Alegre,0.0
wc2014,Belgium,Recife,5.71
wc2014,Belgium,Rio de Janeiro,3.88
wc2014,Belgium,Salvador,3.97
wc2014,Belgium,São Paulo,0.83
wc2014,Bosnia and Herzegovina,Belo Horizonte,0.0
wc2014,Bosnia and Herzegovina,Brasília,0.13
wc2014,Bosnia and Herzegovina,Cuiabá,6.04
wc2014,Bosnia and Herzegovina,Curitiba,0.0
wc2014,Bosnia and Herzegovina,Fortaleza,3.86
wc2014,Bosnia and Herzegovina,Manaus,4.53
wc2014,Bosnia and Herzegovina,Natal,2.07
wc2014,Bosnia and Herzegovina,Porto Alegre,0.0
wc2014,Bosnia and Herzegovina,Recife,1.94
wc2014,Bosnia and Herzegovina,Rio de Janeiro,0.11
wc2014,Bosnia and Herzegovina,Salvador,0.2
wc2014,Bosnia and Herzegovina,São Paulo,0.0
wc2014,Brazil,Belo Horizonte,0.0
wc2014,Brazil,Brasília,0.0
wc2014,Brazil,Cuiabá,0.0
wc2014,Brazil,Curitiba,0.0
wc2014,Brazil,Fortaleza,0.0
wc2014,Brazil,Manaus,0.0
wc2014,Brazil,Natal,0.0
wc2014,Brazil,Porto Alegre,0.0
wc2014,Brazil,Recife,0.0
wc2014,Brazil,Rio de Janeiro,0.0
wc2014,Brazil,Salvador,0.0
wc2014,Brazil,São Paulo,0.0
wc2014,Cameroon,Belo Horizonte,0.0
wc2014,Cameroon,Brasília,0.0
wc2014,Cameroon,Cuiabá,3.57
wc2014,Cameroon,Curitiba,0.0
wc2014,Cameroon,Fortaleza,1.4
wc2014,Cameroon,Manaus,2.06
wc2014,Cameroon,Natal,0.0
wc2014,Cameroon,Porto Alegre,0.0
wc2014,Cameroon,Recife,0.0
wc2014,Cameroon,Rio de Janeiro,0.0
wc2014,Cameroon,Salvador,0.0
wc2014,Cameroon,São Paulo,0.0
wc2014,Chile,Belo Horizonte,7.97
wc2014,Chile,Brasília,9.83
wc2014,Chile,Cuiabá,15.74
wc2014,Chile,Curitiba,3.47
wc2014,Chile,Fortaleza,13.57
wc2014,Chile,Manaus,14.23
wc2014,Chile,Natal,11.77
wc2014,Chile,Porto Alegre,4.2
wc2014,Chile,Recife,11.65
wc2014,Chile,Rio de Janeiro,9.81
wc2014,Chile,Salvador,9.91
