,P_most_distinct_scorers
Spain,0.3287
Germany,0.1369
Argentina,0.1294
Portugal,0.0648
Japan,0.0348
Croatia,0.0291
Belgium,0.026
Uruguay,0.0248
England,0.0247
Netherlands,0.0236
Switzerland,0.021
France,0.0192
United States,0.0178
Canada,0.0166
Brazil,0.0154
Colombia,0.0152
Mexico,0.0139
Turkey,0.0124
Senegal,0.0097
Ivory Coast,0.0054
Ecuador,0.0054
Panama,0.0047
South Korea,0.0044
Scotland,0.0029
Australia,0.0027
Algeria,0.0014
DR Congo,0.0012
New Zealand,0.0011
Czech Republic,0.0011
Austria,0.001
Morocco,0.001
Iran,0.001
Norway,0.0008
Uzbekistan,0.0006
Paraguay,0.0004
Bosnia and Herzegovina,0.0002
Sweden,0.0001
South Africa,0.0001
Cape Verde,0.0001
Jordan,0.0001
Egypt,0.0
Curaçao,0.0
Iraq,0.0
Haiti,0.0
Ghana,0.0
Saudi Arabia,0.0
Qatar,0.0
Tunisia,0.0
