player,team,E_goals,P_golden_boot
Kylian Mbappé,France,5.6374,0.3328
Harry Kane,England,4.7234,0.165
Erling Haaland,Norway,4.6034,0.1519
Lionel Messi,Argentina,4.5352,0.1042
Luis Díaz,Colombia,3.1834,0.049
Lautaro Martínez,Argentina,2.6622,0.0386
Mikel Oyarzabal,Spain,1.9068,0.0134
Raúl Jiménez,Mexico,2.4901,0.0114
Enner Valencia,Ecuador,1.7508,0.011
Kai Havertz,Germany,2.8102,0.0091
Viktor Gyökeres,Sweden,2.161,0.0064
Breel Embolo,Switzerland,2.0755,0.0056
Brahim Díaz,Morocco,1.476,0.0056
Raphinha,Brazil,1.4358,0.0051
Vinícius Júnior,Brazil,2.0529,0.0051
Ayoub El Kaabi,Morocco,1.3832,0.005
Romelu Lukaku,Belgium,1.4021,0.0044
Ferran Torres,Spain,1.4555,0.0043
Mehdi Taremi,Iran,1.2477,0.0038
Mohamed Salah,Egypt,1.2764,0.0038
Cyle Larin,Canada,2.0178,0.0036
Mikel Merino,Spain,1.3873,0.0034
Memphis Depay,Netherlands,1.261,0.0034
Ismael Saibari,Morocco,1.925,0.0032
Jonathan David,Canada,1.397,0.0031
César Montes,Mexico,1.3123,0.0028
Mohamed Amoura,Algeria,1.1036,0.0025
Daichi Kamada,Japan,1.7409,0.0021
Ayase Ueda,Japan,1.1641,0.0018
Cody Gakpo,Netherlands,1.1352,0.0016
Christian Pulisic,United States,1.1011,0.0015
Gonzalo Plata,Ecuador,1.0448,0.0014
Marko Arnautović,Austria,1.7766,0.0014
Orbelín Pineda,Mexico,1.1278,0.0014
Kerem Aktürkoğlu,Turkey,0.8083,0.0012
Lucas Paquetá,Brazil,1.0027,0.0012
Andrej Kramarić,Croatia,1.0412,0.0011
Darwin Núñez,Uruguay,0.7528,0.0011
Elijah Just,New Zealand,2.336,0.001
Folarin Balogun,United States,2.3714,0.001
Jamal Musiala,Germany,1.5971,0.001
Luis Suárez,Colombia,0.9722,0.0009
Mohammad Mohebi,Iran,1.6634,0.0009
Cristiano Ronaldo,Portugal,0.7466,0.0008
Abbosbek Fayzullaev,Uzbekistan,1.5294,0.0008
Jackson Irvine,Australia,0.9022,0.0008
Neymar,Brazil,1.0495,0.0008
Edson Álvarez,Mexico,1.1152,0.0008
Amad Diallo,Ivory Coast,1.5468,0.0008
Son Heung-min,South Korea,0.9442,0.0008
Harry Souttar,Australia,0.7916,0.0006
Ali Olwan,Jordan,1.4782,0.0006
Bruno Fernandes,Portugal,0.8062,0.0006
Aymen Hussein,Iraq,1.5598,0.0006
Scott McTominay,Scotland,0.7405,0.0005
Julián Álvarez,Argentina,0.9114,0.0005
Alexis Vega,Mexico,0.8414,0.0004
John McGinn,Scotland,1.4648,0.0004
Tajon Buchanan,Canada,0.8079,0.0004
Dani Olmo,Spain,0.8312,0.0004
Florian Wirtz,Germany,0.6998,0.0004
Almoez Ali,Qatar,0.9637,0.0004
Zeki Amdouni,Switzerland,0.672,0.0004
Lamine Yamal,Spain,0.7106,0.0004
Ismael Díaz,Panama,0.5417,0.0004
Marcus Rashford,England,1.6518,0.0004
Yasin Ayari,Sweden,2.1465,0.0003
Bradley Barcola,France,1.4276,0.0003
Michael Gregoritsch,Austria,0.8194,0.0003
Antonio Sanabria,Paraguay,0.5702,0.0003
Patrik Schick,Czech Republic,0.5449,0.0003
Marcel Sabitzer,Austria,0.7659,0.0003
Lee Kang-in,South Korea,0.651,0.0003
Sadio Mané,Senegal,0.6526,0.0003
Ismaïla Sarr,Senegal,0.5289,0.0002
Hwang Hee-chan,South Korea,0.5864,0.0002
Riyad Mahrez,Algeria,0.5581,0.0002
Alexander Sørloth,Norway,0.8894,0.0002
Takefusa Kubo,Japan,0.5788,0.0002
Félix Torres,Ecuador,0.7176,0.0002
Julio Enciso,Paraguay,0.5758,0.0002
Firas Al-Buraikan,Saudi Arabia,0.6576,0.0002
Yoane Wissa,DR Congo,1.3723,0.0002
Chris Wood,New Zealand,0.504,0.0002
Duckens Nazon,Haiti,0.4678,0.0001
Saleh Al-Shehri,Saudi Arabia,0.506,0.0001
Omar Marmoush,Egypt,0.553,0.0001
Nick Woltemade,Germany,0.5137,0.0001
Eldor Shomurodov,Uzbekistan,0.5966,0.0001
Nishan Velupillay,Australia,0.6218,0.0001
Chris Richards,United States,0.498,0.0001
Edin Džeko,Bosnia and Herzegovina,0.5983,0.0001
Giorgian de Arrascaeta,Uruguay,0.6,0.0001
Thiago Almada,Argentina,0.641,0.0001
Hakan Çalhanoğlu,Turkey,0.3814,0.0001
Julián Alvarez,Argentina,0.8273,0.0001
Deniz Undav,Germany,1.2786,0.0001
Alexander Isak,Sweden,1.4518,0.0001
James Rodríguez,Colombia,0.7034,0.0001
Joshua Kimmich,Germany,0.5056,0.0001
Youri Tielemans,Belgium,0.5548,0.0001
Merih Demiral,Turkey,0.3418,0.0001
Malik Tillman,United States,0.7432,0.0001
Mario Pašalić,Croatia,0.4832,0.0001
Jérémy Doku,Belgium,0.5493,0.0001
Oh Hyeon-gyu,South Korea,1.4018,0.0001
Luis Chávez,Mexico,0.7021,0.0001
Ladislav Krejčí,Czech Republic,1.2144,0.0001
Donyell Malen,Netherlands,0.6167,0.0001
Kendry Páez,Ecuador,0.5078,0.0001
Bukayo Saka,England,0.826,0.0001
Ritsu Dōan,Japan,0.574,0.0001
Achraf Hakimi,Morocco,0.5021,0.0
Michael Olise,France,0.6622,0.0
Santiago Giménez,Mexico,0.5162,0.0
Kevin De Bruyne,Belgium,0.6921,0.0
Musa Al-Taamari,Jordan,0.4764,0.0
Weston McKennie,United States,0.2742,0.0
Lee Jae-sung,South Korea,0.3668,0.0
Mehdi Ghayedi,Iran,0.5142,0.0
Omar Alderete,Paraguay,0.4066,0.0
Bernardo Silva,Portugal,0.365,0.0
Ajdin Hrustic,Australia,0.4368,0.0
João Neves,Portugal,1.2586,0.0
Nicolas Jackson,Senegal,0.3988,0.0
Pape Gueye,Senegal,0.3651,0.0
Oswin Appollis,South Africa,0.4087,0.0
Lyle Foster,South Africa,0.4005,0.0
Denzel Dumfries,Netherlands,0.5592,0.0
Elias Achouri,Tunisia,0.2464,0.0
Luis Romo,Mexico,0.4584,0.0
Gonçalo Ramos,Portugal,0.4212,0.0
Keito Nakamura,Japan,1.3128,0.0
Nicolás González,Argentina,0.5406,0.0
Jhon Córdoba,Colombia,0.5991,0.0
Federico Valverde,Uruguay,0.4702,0.0
Leroy Sané,Germany,0.6102,0.0
Virgil van Dijk,Netherlands,1.2,0.0
Evann Guessand,Ivory Coast,0.3756,0.0
Evidence Makgopa,South Africa,0.313,0.0
Akram Afif,Qatar,0.7163,0.0
Eberechi Eze,England,0.3932,0.0
Trézéguet,Egypt,0.4905,0.0
Ousmane Dembélé,France,0.4268,0.0
Salem Al-Dawsari,Saudi Arabia,0.3264,0.0
Daniel Muñoz,Colombia,1.346,0.0
Kevin Rodríguez,Ecuador,0.4994,0.0
João Félix,Portugal,0.4372,0.0
Homam Ahmed,Qatar,0.0213,0.0
Matheus Nunes,Portugal,0.0311,0.0
Ahmed Alaaeldin,Qatar,0.0752,0.0
Pedro Miguel,Qatar,0.0384,0.0
Francis de Vries,New Zealand,0.0531,0.0
João Cancelo,Portugal,0.3284,0.0
Boualem Khoukhi,Qatar,0.0704,0.0
Hassan Al-Haydos,Qatar,0.172,0.0
Crysencio Summerville,Netherlands,1.0,0.0
Nuno Mendes,Portugal,0.0804,0.0
Jassem Gaber,Qatar,0.0457,0.0
Teun Koopmeiners,Netherlands,0.16,0.0
Pedro Neto,Portugal,0.0662,0.0
Ben Old,New Zealand,0.0544,0.0
Rafael Leão,Portugal,0.186,0.0
Renato Veiga,Portugal,0.083,0.0
Rúben Dias,Portugal,0.0408,0.0
Mohammed Muntari,Qatar,0.0566,0.0
Abdulaziz Hatem,Qatar,0.0654,0.0
Rúben Neves,Portugal,0.0856,0.0
Lucas Mendes,Qatar,0.0626,0.0
Finn Surman,New Zealand,0.0564,0.0
Ben Waine,New Zealand,0.367,0.0
Callum McCowatt,New Zealand,0.1212,0.0
Karim Boudiaf,Qatar,0.0139,0.0
Fidel Escobar,Panama,0.0762,0.0
Eric Davis,Panama,0.113,0.0
César Yanis,Panama,0.1223,0.0
César Blackman,Panama,0.0977,0.0
Yusuf Abdurisag,Qatar,0.0914,0.0
Tim Payne,New Zealand,0.0548,0.0
Tommy Smith,New Zealand,0.0018,0.0
Cristian Martínez,Panama,0.0894,0.0
Tyler Bindon,New Zealand,0.1342,0.0
Cecilio Waterman,Panama,0.141,0.0
Carlos Harvey,Panama,0.0549,0.0
Aníbal Godoy,Panama,0.0298,0.0
Andrés Andrade,Panama,0.0176,0.0
Quinten Timber,Netherlands,0.0867,0.0
Leo Østigård,Norway,1.0,0.0
Thelo Aasgaard,Norway,0.424,0.0
Sander Berge,Norway,0.014,0.0
Martin Ødegaard,Norway,0.1473,0.0
Antonio Nusa,Norway,0.3771,0.0
Kristoffer Ajer,Norway,0.0772,0.0
Kristian Thorstvedt,Norway,0.081,0.0
Jørgen Strand Larsen,Norway,0.1464,0.0
David Møller Wolfe,Norway,0.0774,0.0
Wout Weghorst,Netherlands,0.3365,0.0
Fredrik Aursnes,Norway,0.0492,0.0
Jens Petter Hauge,Norway,0.0676,0.0
Julian Ryerson,Norway,0.0744,0.0
Alberto Quintero,Panama,0.0218,0.0
Gonçalo Inácio,Portugal,0.0959,0.0
Gonçalo Guedes,Portugal,0.0809,0.0
Francisco Trincão,Portugal,0.1448,0.0
Francisco Conceição,Portugal,0.2214,0.0
Diogo Dalot,Portugal,0.1282,0.0
Jesse Randall,New Zealand,0.0545,0.0
Joe Bell,New Zealand,0.0292,0.0
Maurício,Paraguay,1.0,0.0
Ramón Sosa,Paraguay,0.1204,0.0
Kosta Barbarouses,New Zealand,0.1682,0.0
Liberato Cacace,New Zealand,0.0298,0.0
Miguel Almirón,Paraguay,0.2062,0.0
Marko Stamenić,New Zealand,0.061,0.0
José Fajardo,Panama,0.227,0.0
Júnior Alonso,Paraguay,0.16,0.0
Matthew Garbett,New Zealand,0.0914,0.0
Michael Boxall,New Zealand,0.0328,0.0
Gustavo Gómez,Paraguay,0.0417,0.0
