,P1,P2,P3,P4,group,P_qualify,P_top_scoring_team
Mexico,0.674,0.224,0.08,0.021,A,0.969,0.053
South Korea,0.194,0.394,0.279,0.132,A,0.791,0.006
Czech Republic,0.105,0.266,0.381,0.248,A,0.626,0.001
South Africa,0.026,0.115,0.259,0.599,A,0.288,0.0
Canada,0.52,0.373,0.088,0.019,B,0.968,0.051
Switzerland,0.429,0.43,0.115,0.026,B,0.953,0.042
Bosnia and Herzegovina,0.035,0.133,0.476,0.356,B,0.438,0.001
Qatar,0.015,0.064,0.321,0.6,B,0.238,0.0
Brazil,0.543,0.294,0.128,0.035,C,0.943,0.04
Morocco,0.32,0.385,0.213,0.081,C,0.868,0.015
Scotland,0.109,0.231,0.409,0.25,C,0.619,0.002
Haiti,0.027,0.089,0.25,0.634,C,0.261,0.0
Turkey,0.336,0.267,0.222,0.175,D,0.777,0.007
United States,0.234,0.247,0.259,0.26,D,0.675,0.002
Paraguay,0.228,0.25,0.255,0.267,D,0.669,0.002
Australia,0.202,0.236,0.264,0.298,D,0.636,0.002
Ecuador,0.482,0.344,0.145,0.029,E,0.949,0.042
Germany,0.408,0.38,0.175,0.037,E,0.932,0.035
Ivory Coast,0.1,0.227,0.48,0.193,E,0.653,0.002
Curaçao,0.011,0.049,0.199,0.741,E,0.159,0.0
Netherlands,0.466,0.334,0.145,0.055,F,0.916,0.026
Japan,0.411,0.353,0.168,0.068,F,0.895,0.022
Sweden,0.072,0.174,0.364,0.39,F,0.479,0.001
Tunisia,0.05,0.14,0.323,0.487,F,0.386,0.0
Belgium,0.464,0.283,0.17,0.083,G,0.883,0.02
Iran,0.302,0.319,0.238,0.141,G,0.805,0.009
Egypt,0.16,0.245,0.321,0.274,G,0.635,0.003
New Zealand,0.074,0.153,0.271,0.501,G,0.402,0.001
Spain,0.815,0.166,0.017,0.001,H,0.997,0.28
Uruguay,0.168,0.626,0.162,0.044,H,0.907,0.022
Saudi Arabia,0.01,0.124,0.446,0.42,H,0.335,0.0
Cape Verde,0.006,0.084,0.376,0.534,H,0.248,0.0
France,0.615,0.249,0.106,0.03,I,0.956,0.05
Norway,0.22,0.364,0.287,0.129,I,0.798,0.007
Senegal,0.14,0.292,0.372,0.196,I,0.69,0.003
Iraq,0.024,0.095,0.236,0.644,I,0.254,0.0
Argentina,0.776,0.164,0.048,0.013,J,0.98,0.108
Austria,0.1,0.341,0.328,0.231,J,0.651,0.002
Algeria,0.093,0.332,0.328,0.248,J,0.633,0.002
Jordan,0.031,0.163,0.297,0.509,J,0.359,0.0
Colombia,0.47,0.337,0.144,0.05,K,0.924,0.026
Portugal,0.42,0.362,0.159,0.059,K,0.909,0.024
Uzbekistan,0.07,0.181,0.389,0.36,K,0.499,0.001
DR Congo,0.04,0.12,0.308,0.532,K,0.342,0.0
England,0.605,0.272,0.104,0.018,L,0.97,0.066
Croatia,0.274,0.414,0.253,0.059,L,0.888,0.017
Panama,0.109,0.265,0.458,0.168,L,0.694,0.003
Ghana,0.011,0.049,0.185,0.755,L,0.155,0.0
