,P1,P2,P3,P4,group,P_qualify,P_R32,P_R16,P_QF,P_SF,P_final,P_champion,P_top_scoring_team
Mexico,0.6887,0.2207,0.0724,0.0182,A,0.9722,0.9722,0.6599,0.3642,0.1596,0.0591,0.0226,0.055
South Korea,0.195,0.4134,0.2699,0.1216,A,0.8059,0.8059,0.3696,0.1281,0.0416,0.0103,0.0029,0.0048
Czech Republic,0.0923,0.2617,0.3914,0.2546,A,0.6155,0.6155,0.2023,0.0509,0.0103,0.0018,0.0004,0.0015
South Africa,0.024,0.1042,0.2662,0.6056,A,0.2764,0.2764,0.0517,0.0068,0.001,0.0,0.0,0.0001
Canada,0.5435,0.369,0.0748,0.0127,B,0.9758,0.9758,0.6194,0.2912,0.0947,0.0332,0.0089,0.058
Switzerland,0.4159,0.4519,0.1094,0.0228,B,0.9562,0.9562,0.5911,0.2667,0.1,0.036,0.0117,0.0431
Bosnia and Herzegovina,0.0306,0.1297,0.5091,0.3306,B,0.4474,0.4474,0.089,0.0136,0.0012,0.0001,0.0,0.0006
Qatar,0.01,0.0494,0.3067,0.6338,B,0.1942,0.1942,0.0198,0.0018,0.0001,0.0,0.0,0.0001
Brazil,0.4861,0.3248,0.1497,0.0394,C,0.934,0.934,0.5735,0.351,0.1996,0.0929,0.0435,0.03
Morocco,0.3648,0.3628,0.2082,0.0642,C,0.8952,0.8952,0.5,0.2852,0.1452,0.0608,0.0252,0.0169
Scotland,0.1301,0.2461,0.4214,0.2024,C,0.6732,0.6732,0.2458,0.0988,0.034,0.0086,0.0026,0.0024
Haiti,0.019,0.0664,0.2207,0.6939,C,0.2078,0.2078,0.0354,0.0068,0.0013,0.0002,0.0,0.0001
Turkey,0.3908,0.2698,0.1988,0.1405,D,0.8201,0.8201,0.5125,0.2543,0.099,0.0422,0.0156,0.0072
United States,0.2266,0.2556,0.264,0.2538,D,0.6765,0.6765,0.3552,0.1368,0.047,0.0177,0.0058,0.0014
Australia,0.1958,0.2403,0.2694,0.2946,D,0.6332,0.6332,0.3062,0.1074,0.0346,0.0109,0.0024,0.002
Paraguay,0.1869,0.2343,0.2678,0.311,D,0.618,0.618,0.2928,0.1034,0.0316,0.0095,0.0024,0.0017
Ecuador,0.4906,0.342,0.1432,0.0242,E,0.956,0.956,0.636,0.3348,0.1872,0.0804,0.0334,0.0442
Germany,0.397,0.3902,0.1794,0.0334,E,0.9375,0.9375,0.5708,0.2825,0.1476,0.0582,0.0242,0.0294
Ivory Coast,0.103,0.2302,0.4998,0.1669,E,0.6857,0.6857,0.2404,0.0734,0.0177,0.0038,0.001,0.0026
Curaçao,0.0093,0.0376,0.1775,0.7756,E,0.1338,0.1338,0.0159,0.0013,0.0001,0.0,0.0,0.0
Netherlands,0.4859,0.3284,0.1368,0.0488,F,0.9269,0.9269,0.5013,0.3025,0.1502,0.0648,0.0286,0.0269
Japan,0.4019,0.372,0.1598,0.0664,F,0.9004,0.9004,0.4514,0.2518,0.1174,0.0454,0.0171,0.018
Sweden,0.0631,0.1656,0.3652,0.4061,F,0.4576,0.4576,0.1048,0.0278,0.0054,0.0008,0.0001,0.0004
Tunisia,0.0491,0.134,0.3382,0.4788,F,0.3903,0.3903,0.0808,0.019,0.0034,0.0008,0.0001,0.0004
Belgium,0.5102,0.2718,0.1445,0.0736,G,0.9026,0.9026,0.5452,0.2666,0.0956,0.0406,0.0131,0.0202
Iran,0.2541,0.3158,0.2501,0.18,G,0.7573,0.7573,0.3408,0.1154,0.0302,0.0092,0.0022,0.0048
Egypt,0.1402,0.2344,0.3094,0.3162,G,0.5904,0.5904,0.2002,0.0528,0.0101,0.002,0.0006,0.0012
New Zealand,0.0956,0.1781,0.296,0.4303,G,0.4695,0.4695,0.1304,0.0276,0.0048,0.0007,0.0,0.0008
Spain,0.8379,0.1469,0.0136,0.0016,H,0.997,0.997,0.7876,0.609,0.4982,0.3708,0.2517,0.306
Uruguay,0.1468,0.6488,0.1592,0.0452,H,0.9057,0.9057,0.3304,0.1771,0.081,0.0344,0.0105,0.019
Saudi Arabia,0.0102,0.1214,0.471,0.3974,H,0.3379,0.3379,0.0552,0.0122,0.0016,0.0004,0.0,0.0003
Cape Verde,0.0051,0.0829,0.3562,0.5558,H,0.2264,0.2264,0.0282,0.0046,0.0004,0.0,0.0,0.0001
France,0.6032,0.2601,0.1116,0.025,I,0.9594,0.9594,0.7128,0.4843,0.3203,0.1777,0.0998,0.046
Norway,0.2238,0.3657,0.3018,0.1087,I,0.8176,0.8176,0.45,0.2252,0.0981,0.0369,0.0147,0.0092
Senegal,0.1554,0.3028,0.3794,0.1624,I,0.7339,0.7339,0.3602,0.164,0.0597,0.0199,0.0069,0.0034
Iraq,0.0176,0.0714,0.2072,0.7039,I,0.204,0.204,0.0468,0.0103,0.0018,0.0003,0.0,0.0001
Argentina,0.7834,0.1631,0.0439,0.0096,J,0.9858,0.9858,0.7199,0.5843,0.4424,0.312,0.1937,0.1114
Austria,0.1033,0.3716,0.3387,0.1864,J,0.7008,0.7008,0.2142,0.0934,0.0327,0.0118,0.0028,0.0028
Algeria,0.0936,0.3422,0.3562,0.2079,J,0.6678,0.6678,0.2051,0.0853,0.0284,0.0091,0.0024,0.0026
Jordan,0.0196,0.123,0.2612,0.5961,J,0.2789,0.2789,0.0504,0.0116,0.002,0.0006,0.0,0.0002
Portugal,0.441,0.3342,0.1593,0.0656,K,0.9016,0.9016,0.5711,0.3022,0.1512,0.0806,0.0362,0.0186
Colombia,0.4318,0.3454,0.16,0.0628,K,0.9067,0.9067,0.5752,0.2969,0.1502,0.081,0.0363,0.0192
Uzbekistan,0.072,0.1778,0.3616,0.3886,K,0.4815,0.4815,0.1456,0.0385,0.011,0.0024,0.0004,0.0007
DR Congo,0.0552,0.1427,0.3192,0.483,K,0.3966,0.3966,0.109,0.0262,0.0068,0.0018,0.0001,0.0005
England,0.619,0.27,0.0959,0.015,L,0.9727,0.9727,0.6862,0.399,0.2423,0.1328,0.0676,0.0678
Croatia,0.2719,0.424,0.2436,0.0604,L,0.8862,0.8862,0.455,0.1839,0.0828,0.032,0.0112,0.0162
