snapshot_utc,played_groups,played_ko,team,P1,P2,P3,P4,group,P_qualify,P_R32,P_R16,P_QF,P_SF,P_final,P_champion,P_top_scoring_team
2026-06-12T23:30Z,2,0,Mexico,0.7206,0.2245,0.0532,0.0016,A,0.9962,0.9962,0.6792,0.3757,0.164,0.0618,0.0232,0.02
2026-06-12T23:30Z,2,0,South Korea,0.2554,0.5951,0.1282,0.0213,A,0.9582,0.9582,0.4561,0.1581,0.0495,0.0128,0.0029,0.0041
2026-06-12T23:30Z,2,0,Czech Republic,0.0195,0.1056,0.5539,0.321,A,0.4879,0.4879,0.144,0.0378,0.0086,0.0018,0.0003,0.0003
2026-06-12T23:30Z,2,0,South Africa,0.0045,0.0748,0.2646,0.6561,A,0.222,0.222,0.0382,0.005,0.0006,0.0001,0.0,0.0
2026-06-12T23:30Z,2,0,Canada,0.5512,0.3617,0.0744,0.0126,B,0.9764,0.9764,0.611,0.2922,0.0946,0.0302,0.0088,0.065
2026-06-12T23:30Z,2,0,Switzerland,0.4088,0.459,0.1092,0.0229,B,0.9562,0.9562,0.5764,0.2642,0.099,0.0353,0.0125,0.0432
2026-06-12T23:30Z,2,0,Bosnia and Herzegovina,0.031,0.1265,0.5184,0.324,B,0.4466,0.4466,0.0853,0.0142,0.0016,0.0,0.0,0.0006
2026-06-12T23:30Z,2,0,Qatar,0.0088,0.0528,0.2979,0.6404,B,0.1986,0.1986,0.021,0.0022,0.0,0.0,0.0,0.0001
2026-06-12T23:30Z,2,0,Brazil,0.4862,0.3156,0.1579,0.0404,C,0.9345,0.9345,0.5742,0.3488,0.2004,0.095,0.043,0.0298
2026-06-12T23:30Z,2,0,Morocco,0.3696,0.365,0.2047,0.0606,C,0.8996,0.8996,0.4997,0.2852,0.147,0.0608,0.0242,0.0194
2026-06-12T23:30Z,2,0,Scotland,0.1251,0.2517,0.4224,0.2007,C,0.6758,0.6758,0.2448,0.0968,0.0308,0.0081,0.0024,0.0028
2026-06-12T23:30Z,2,0,Haiti,0.0191,0.0677,0.2149,0.6983,C,0.2082,0.2082,0.0352,0.0066,0.001,0.0001,0.0,0.0001
2026-06-12T23:30Z,2,0,Turkey,0.3931,0.2709,0.1956,0.1404,D,0.8218,0.8218,0.5227,0.2598,0.1011,0.0432,0.0169,0.0072
2026-06-12T23:30Z,2,0,United States,0.2224,0.2548,0.2732,0.2496,D,0.6816,0.6816,0.3575,0.1407,0.0471,0.0152,0.0048,0.0014
2026-06-12T23:30Z,2,0,Australia,0.1926,0.2374,0.2653,0.3046,D,0.6249,0.6249,0.3044,0.1138,0.0339,0.0112,0.0024,0.0016
2026-06-12T23:30Z,2,0,Paraguay,0.1919,0.237,0.2658,0.3053,D,0.6252,0.6252,0.3011,0.1067,0.031,0.0106,0.0026,0.0017
2026-06-12T23:30Z,2,0,Ecuador,0.489,0.3406,0.145,0.0254,E,0.9531,0.9531,0.6316,0.337,0.19,0.0811,0.0332,0.0429
2026-06-12T23:30Z,2,0,Germany,0.3975,0.3844,0.1856,0.0325,E,0.9351,0.9351,0.5759,0.2824,0.1456,0.0584,0.0238,0.0315
2026-06-12T23:30Z,2,0,Ivory Coast,0.1045,0.2392,0.4872,0.169,E,0.6838,0.6838,0.2379,0.0703,0.0176,0.0037,0.001,0.0026
2026-06-12T23:30Z,2,0,Curaçao,0.009,0.0356,0.1823,0.7731,E,0.1354,0.1354,0.0168,0.0021,0.0002,0.0,0.0,0.0001
2026-06-12T23:30Z,2,0,Netherlands,0.4872,0.3362,0.1277,0.0489,F,0.925,0.925,0.5034,0.2961,0.146,0.0632,0.0262,0.0283
2026-06-12T23:30Z,2,0,Japan,0.3992,0.3654,0.1678,0.0675,F,0.8976,0.8976,0.4426,0.2488,0.112,0.0426,0.0156,0.0192
2026-06-12T23:30Z,2,0,Sweden,0.0639,0.1594,0.3676,0.4091,F,0.4524,0.4524,0.101,0.0282,0.0055,0.0011,0.0001,0.0006
2026-06-12T23:30Z,2,0,Tunisia,0.0498,0.1388,0.3368,0.4746,F,0.3911,0.3911,0.0804,0.0198,0.0036,0.0006,0.0001,0.0002
2026-06-12T23:30Z,2,0,Belgium,0.5192,0.2616,0.1482,0.0708,G,0.9028,0.9028,0.5374,0.2605,0.0943,0.0417,0.0152,0.0216
2026-06-12T23:30Z,2,0,Iran,0.2545,0.3204,0.2517,0.1734,G,0.7635,0.7635,0.3429,0.1144,0.0308,0.0096,0.0022,0.0037
2026-06-12T23:30Z,2,0,Egypt,0.1413,0.2382,0.307,0.3135,G,0.5963,0.5963,0.2112,0.0518,0.0105,0.0026,0.0005,0.002
2026-06-12T23:30Z,2,0,New Zealand,0.085,0.1798,0.293,0.4423,G,0.4588,0.4588,0.1256,0.0244,0.0038,0.0004,0.0001,0.0006
2026-06-12T23:30Z,2,0,Spain,0.836,0.1496,0.0127,0.0016,H,0.9973,0.9973,0.7826,0.6071,0.4946,0.3694,0.2544,0.3147
2026-06-12T23:30Z,2,0,Uruguay,0.1487,0.6436,0.1659,0.0418,H,0.9042,0.9042,0.3294,0.1768,0.0858,0.0366,0.0126,0.019
2026-06-12T23:30Z,2,0,Saudi Arabia,0.0097,0.1257,0.4586,0.406,H,0.3471,0.3471,0.0572,0.0118,0.0012,0.0001,0.0,0.0004
2026-06-12T23:30Z,2,0,Cape Verde,0.0056,0.0812,0.3628,0.5506,H,0.2234,0.2234,0.0294,0.0044,0.0002,0.0,0.0,0.0
2026-06-12T23:30Z,2,0,France,0.616,0.2488,0.1104,0.0246,I,0.9619,0.9619,0.712,0.4829,0.3202,0.1729,0.0962,0.0498
2026-06-12T23:30Z,2,0,Norway,0.2174,0.3664,0.3057,0.1106,I,0.8157,0.8157,0.4428,0.2217,0.0976,0.0382,0.0134,0.0074
2026-06-12T23:30Z,2,0,Senegal,0.1484,0.3114,0.3756,0.1646,I,0.7313,0.7313,0.351,0.1642,0.0621,0.0222,0.0074,0.0036
2026-06-12T23:30Z,2,0,Iraq,0.0181,0.0734,0.2083,0.7002,I,0.2082,0.2082,0.0482,0.0106,0.0015,0.0002,0.0,0.0
2026-06-12T23:30Z,2,0,Argentina,0.7913,0.1577,0.0432,0.0078,J,0.9884,0.9884,0.7191,0.585,0.4437,0.3113,0.1958,0.1164
2026-06-12T23:30Z,2,0,Austria,0.099,0.3724,0.3406,0.188,J,0.694,0.694,0.2198,0.0959,0.0316,0.0116,0.0028,0.0031
2026-06-12T23:30Z,2,0,Algeria,0.091,0.3461,0.351,0.2119,J,0.6652,0.6652,0.2028,0.085,0.0298,0.0098,0.0022,0.0024
2026-06-12T23:30Z,2,0,Jordan,0.0186,0.1238,0.2652,0.5923,J,0.2781,0.2781,0.0512,0.0124,0.0022,0.0004,0.0001,0.0004
2026-06-12T23:30Z,2,0,Colombia,0.437,0.3432,0.1592,0.0606,K,0.9088,0.9088,0.5748,0.2987,0.1512,0.079,0.035,0.0216
2026-06-12T23:30Z,2,0,Portugal,0.4308,0.342,0.1635,0.0636,K,0.9038,0.9038,0.5718,0.2967,0.1498,0.0794,0.0366,0.021
2026-06-12T23:30Z,2,0,Uzbekistan,0.0766,0.1718,0.3624,0.3892,K,0.4826,0.4826,0.155,0.0388,0.0111,0.0031,0.0006,0.0008
2026-06-12T23:30Z,2,0,DR Congo,0.0556,0.143,0.3148,0.4865,K,0.3936,0.3936,0.1058,0.0221,0.0052,0.0008,0.0001,0.0005
2026-06-12T23:30Z,2,0,England,0.6178,0.272,0.0936,0.0167,L,0.973,0.973,0.6848,0.3908,0.2382,0.1329,0.0671,0.0713
2026-06-12T23:30Z,2,0,Croatia,0.2682,0.4223,0.2492,0.0603,L,0.8822,0.8822,0.4538,0.1802,0.0844,0.0356,0.0123,0.0146
2026-06-12T23:30Z,2,0,Panama,0.104,0.2553,0.4632,0.1776,L,0.6784,0.6784,0.2304,0.0682,0.0192,0.0049,0.0012,0.0024
