,P1,P2,P3,P4,group,P_qualify,P_R32,P_R16,P_QF,P_SF,P_final,P_champion,P_top_scoring_team
Mexico,0.8548,0.129,0.0157,0.0006,A,0.9984,0.9984,0.7756,0.5392,0.2402,0.0896,0.0326,0.0548
South Korea,0.1343,0.6946,0.1427,0.0284,A,0.9241,0.9241,0.4746,0.1604,0.048,0.0122,0.003,0.0024
Czech Republic,0.0091,0.0701,0.5386,0.3822,A,0.3449,0.3449,0.12,0.0308,0.0065,0.0008,0.0002,0.0003
South Africa,0.0019,0.1064,0.303,0.5887,A,0.2292,0.2292,0.0554,0.0081,0.0006,0.0,0.0,0.0
Canada,0.5346,0.3078,0.1242,0.0334,B,0.9379,0.9379,0.5922,0.2772,0.0805,0.0278,0.0076,0.0119
Switzerland,0.3531,0.3552,0.2245,0.0672,B,0.8429,0.8429,0.5192,0.2364,0.0869,0.0323,0.0107,0.0032
Bosnia and Herzegovina,0.0854,0.2341,0.3835,0.297,B,0.5908,0.5908,0.131,0.0184,0.0018,0.0001,0.0,0.0003
Qatar,0.027,0.1028,0.2678,0.6024,B,0.2995,0.2995,0.04,0.0031,0.0002,0.0,0.0,0.0
Brazil,0.433,0.3499,0.18,0.037,C,0.9362,0.9362,0.5724,0.3642,0.207,0.0972,0.044,0.015
Morocco,0.3535,0.3716,0.226,0.0488,C,0.9112,0.9112,0.4896,0.2832,0.1438,0.056,0.0216,0.0083
Scotland,0.2061,0.2624,0.4983,0.0332,C,0.8146,0.8146,0.279,0.1137,0.037,0.0084,0.0019,0.0
Haiti,0.0074,0.0162,0.0956,0.8808,C,0.0784,0.0784,0.0112,0.0024,0.0002,0.0,0.0,0.0
United States,0.5064,0.2958,0.1773,0.0204,D,0.9628,0.9628,0.5292,0.2216,0.0669,0.0237,0.0066,0.0144
Australia,0.4028,0.372,0.1905,0.0348,D,0.9394,0.9394,0.4826,0.1709,0.0513,0.0153,0.0032,0.0018
Turkey,0.0644,0.2203,0.4005,0.3148,D,0.5599,0.5599,0.3038,0.1342,0.0644,0.0258,0.009,0.0006
Paraguay,0.0264,0.1119,0.2317,0.63,D,0.2977,0.2977,0.126,0.0402,0.0147,0.0048,0.0012,0.0001
Germany,0.6478,0.1994,0.1514,0.0014,E,0.9968,0.9968,0.6384,0.295,0.1504,0.0611,0.0224,0.3966
Ivory Coast,0.2884,0.4347,0.2702,0.0066,E,0.9604,0.9604,0.3338,0.0922,0.0265,0.0061,0.0018,0.0013
